File_Name,Type,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,float_ms_ssim,vmaf,psnr_avg,mse_avg,mse_y,mse_u,mse_v,ssim_y,ssim_u,ssim_v
001_av1_1K.mp4,max,0.994745,0.995254,0.993838,0.994566,0.9983,12.336063,13.361686,0.918333,0.990721,0.995632,0.997271,51.419946,47.137505,48.52389,0.99887,0.998403,96.968245,49.02711367,876.28,1162.69,617.31,223.76,0.994344,0.982749,0.986913
001_av1_1K.mp4,mean,0.817628047,0.965117063,0.863641403,0.76221801,0.76117525,2.45728791,2.778537823,0.608803637,0.680643137,0.688556483,0.682758287,28.87042871,32.09226001,34.91434062,0.860687097,0.847842877,37.7514784,31.95900978,230.1943667,290.3989333,158.8116,60.7574,0.92119266,0.911285603,0.946914467
001_av1_1K.mp4,min,0.574256,0.920785,0.679383,0.467977,0.422403,0,0,0.344774,0.380711,0.371464,0.343054,17.476178,20.225781,24.633004,0.652658,0.604806,0,21.51770367,0.67,0.47,1.26,0.91,0.816367,0.825839,0.896631
001_av1_2K.mp4,max,0.994384,0.995193,0.992683,0.994294,0.996952,12.372517,13.395576,0.927827,0.990271,0.995222,0.997005,52.154151,47.993572,49.029036,0.999382,0.998524,96.974687,49.72558633,877.44,1163.78,620.83,222.94,0.995072,0.985741,0.988285
001_av1_2K.mp4,mean,0.818033477,0.969659893,0.87334288,0.763224993,0.741707453,2.501961557,2.822803937,0.645837817,0.710281553,0.714556037,0.703786717,28.83768855,31.87452055,34.7626462,0.852278623,0.866852487,38.29677014,31.82495177,230.7233,290.7659,160.344,61.01996667,0.9360476,0.91866313,0.953195003
001_av1_2K.mp4,min,0.580931,0.933967,0.692885,0.448841,0.385207,0,0,0.407403,0.441912,0.429891,0.395563,17.472102,20.19839,24.646169,0.628697,0.664598,0,21.50326567,0.57,0.4,1.03,0.81,0.849683,0.851251,0.916309
001_av1_480p.mp4,max,0.998632,0.993525,0.993899,0.998986,1.002116,12.201975,13.251658,0.930921,0.996962,0.999062,0.999522,51.351994,48.85899,50.20163,0.998372,0.999115,97.755546,50.137538,880.04,1167.29,623.82,225.05,0.995311,0.989634,0.992017
001_av1_480p.mp4,mean,0.819936857,0.950307253,0.84687523,0.791299357,0.78398204,2.3124753,2.63460023,0.54916065,0.63012989,0.64770133,0.655294003,28.9598082,32.81201342,35.36177253,0.850917693,0.804477217,39.73438977,32.37786472,230.6378333,290.9789333,158.9677,60.94393333,0.868042167,0.875762407,0.915870643
001_av1_480p.mp4,min,0.54,0.875259,0.637058,0.461527,0.43827,0,0,0.229213,0.261371,0.262527,0.252363,17.459032,20.180193,24.608086,0.627125,0.436453,0,21.48418233,0.56,0.48,0.85,0.62,0.687252,0.697958,0.793754
001_av1_4K.mp4,max,0.993451,0.995564,0.992742,0.992525,0.994891,12.402488,13.427885,0.937018,0.989901,0.994343,0.996246,52.770249,49.444898,50.398744,0.999552,0.998612,96.751349,50.713211,877.47,1164.06,621.07,221.79,0.995597,0.989519,0.991258
001_av1_4K.mp4,mean,0.822578577,0.97531374,0.89022158,0.766324167,0.71736624,2.549402857,2.869543177,0.7049216,0.759786977,0.759227867,0.742498427,28.78540503,31.72464865,34.67859004,0.860575447,0.894126743,40.46285033,31.72954791,230.8095667,290.9081667,160.5258,60.69763333,0.9520782,0.930131387,0.961081783
001_av1_4K.mp4,min,0.600154,0.953252,0.753993,0.451946,0.390396,0,0,0.509286,0.539457,0.521825,0.479909,17.471062,20.199412,24.671452,0.652361,0.741884,0,21.51318133,0.47,0.34,0.74,0.59,0.884161,0.880306,0.936442
001_av1_720p.mp4,max,0.996792,0.995482,0.9939,0.997021,0.99989,12.288803,13.329203,0.9226,0.994202,0.997488,0.998517,51.2868,47.839139,49.214318,0.998816,0.998749,97.355873,49.44675233,879.55,1166.53,627.7,222.47,0.994583,0.985847,0.989259
001_av1_720p.mp4,mean,0.81414573,0.957855247,0.853284353,0.77633788,0.76290605,2.38994176,2.712085963,0.577800313,0.649084733,0.661831563,0.663336863,28.90048299,32.37059117,35.17478668,0.851659623,0.82365693,37.72016034,32.14862028,230.7744333,290.9267667,160.8555667,60.25896667,0.895975833,0.89599912,0.93432865
001_av1_720p.mp4,min,0.546315,0.902465,0.647167,0.463458,0.379401,0,0,0.288036,0.313046,0.307859,0.288543,17.461841,20.147787,24.65239,0.627784,0.519609,0,21.49111233,0.63,0.48,1.07,0.78,0.757408,0.772433,0.85498
001_av1_8K.mp4,max,0.993982,0.99518,0.994308,0.99271,0.995142,12.438612,13.460629,0.956793,0.994107,0.996,0.996686,53.646214,51.329097,52.284926,0.999904,0.998849,96.950687,52.273008,877.53,1164.27,619.99,222.22,0.996276,0.99295,0.994246
001_av1_8K.mp4,mean,0.843289853,0.980115237,0.915435337,0.787099897,0.697443313,2.610486883,2.92952474,0.817922157,0.857275647,0.850104127,0.828594393,28.70097196,31.51083769,34.48054973,0.85595212,0.935161247,49.83755134,31.56411979,231.2415667,291.29,161.0112667,61.27956667,0.968525157,0.948494227,0.97213697
001_av1_8K.mp4,min,0.646552,0.96994,0.838285,0.524045,0.317935,0,0,0.70955,0.732062,0.710669,0.662136,17.470265,20.206962,24.662966,0.639898,0.851872,5.333187,21.50699633,0.35,0.28,0.48,0.38,0.917832,0.918602,0.961156
001_h264_1K.mp4,max,0.996756,0.996572,0.995155,0.996002,0.998064,12.336063,13.361686,0.916747,0.994547,0.998109,0.999452,51.341278,47.210889,48.113379,0.999087,0.998551,97.924239,48.757832,877.31,1164.55,617.94,222.94,0.994045,0.98588,0.988033
001_h264_1K.mp4,mean,0.817536857,0.96507936,0.862553647,0.761854017,0.761651967,2.45728791,2.778537823,0.599204227,0.680398907,0.68898517,0.68338154,28.77423529,31.89179602,34.6820084,0.86011261,0.847091717,37.80785916,31.7826799,230.6837667,291.0076,159.1566333,60.91576667,0.91914894,0.905111,0.942894593
001_h264_1K.mp4,min,0.579662,0.921614,0.669569,0.470344,0.421874,0,0,0.34102,0.380702,0.371639,0.3432,17.469212,20.22137,24.648968,0.652398,0.604211,0,21.50611667,0.71,0.48,1.24,1,0.814725,0.818153,0.891516
001_h264_2K.mp4,max,0.996021,0.996364,0.994882,0.995274,0.998162,12.372517,13.395576,0.929402,0.995655,0.997992,0.998713,52.112499,48.834577,49.61506,0.99968,0.99885,97.702392,50.18737867,877.8,1164.67,618.9,223.7,0.994943,0.988581,0.990216
001_h264_2K.mp4,mean,0.817979423,0.969553357,0.872669377,0.76269365,0.742248367,2.501961557,2.822803937,0.636779057,0.709393433,0.7143809,0.70384528,28.74868463,31.64035754,34.50064986,0.85179843,0.865996637,38.26358547,31.62989734,231.0631667,291.1805667,160.4167667,61.3285,0.934013083,0.91230394,0.948438817
001_h264_2K.mp4,min,0.581487,0.932832,0.694314,0.452794,0.385797,0,0,0.404014,0.441656,0.429922,0.39555,17.46877,20.211939,24.631276,0.628294,0.663841,0,21.50580433,0.53,0.4,0.85,0.71,0.848182,0.845942,0.912024
001_h264_480p.mp4,max,0.996249,0.995026,0.992558,0.996026,1.000507,12.201975,13.251658,0.92269,0.994766,0.99692,0.998382,50.617047,48.188091,49.081054,0.998389,0.999055,97.24589,49.22910233,878.61,1166.26,618.05,223.25,0.99486,0.989899,0.990917
001_h264_480p.mp4,mean,0.819594053,0.950518467,0.84660047,0.790831507,0.783499117,2.3124753,2.63460023,0.537940753,0.62876559,0.646718723,0.654485847,28.82025978,32.5421502,35.12358402,0.850290403,0.804046937,39.63542732,32.161998,230.3214333,290.8599667,158.091,60.3961,0.866291027,0.871068933,0.913500003
001_h264_480p.mp4,min,0.53986,0.878951,0.63671,0.460589,0.439247,0,0,0.225693,0.260898,0.262048,0.251775,17.462857,20.220539,24.642825,0.626437,0.435756,0,21.51241433,0.68,0.56,0.99,0.8,0.685474,0.694348,0.79315
001_h264_4K.mp4,max,0.996896,0.996779,0.995691,0.996709,0.998443,12.402488,13.427885,0.937478,0.99552,0.997803,0.998571,52.684074,49.34226,50.029465,0.999726,0.998801,97.940291,50.631191,878.08,1165.11,620.36,222.22,0.995168,0.98958,0.991002
001_h264_4K.mp4,mean,0.822446497,0.975323147,0.89000206,0.765559047,0.71758322,2.549402857,2.869543177,0.698063597,0.75896717,0.759020103,0.742565043,28.72594268,31.57159976,34.46659076,0.860087167,0.893228053,40.43791967,31.5880444,231.2713,291.4475667,160.6431,61.19326667,0.950345737,0.9248121,0.95689616
001_h264_4K.mp4,min,0.600013,0.953214,0.756337,0.453052,0.378325,0,0,0.507357,0.539359,0.521887,0.480031,17.467118,20.204398,24.662875,0.652246,0.74138,0,21.50843033,0.48,0.35,0.76,0.65,0.883071,0.880061,0.936706
001_h264_720p.mp4,max,0.996263,0.99619,0.993392,0.996665,0.997816,12.288803,13.329203,0.926139,0.995094,0.997116,0.998108,51.406968,48.392395,49.319438,0.99906,0.998948,97.40008,49.706267,878.84,1166.53,620.71,223.59,0.994817,0.989436,0.990688
001_h264_720p.mp4,mean,0.813946077,0.957702103,0.853076767,0.775849707,0.762854877,2.38994176,2.712085963,0.56727061,0.648160537,0.661429667,0.662995837,28.79404088,32.00784169,34.82621041,0.85111045,0.823087033,37.6751746,31.87603099,230.8100333,291.1282,160.0272,60.4977,0.894046027,0.889701827,0.930190147
001_h264_720p.mp4,min,0.547412,0.902557,0.645983,0.467244,0.380683,0,0,0.284051,0.312485,0.30752,0.288362,17.461852,20.196424,24.63071,0.6278,0.5193,0,21.50687967,0.6,0.47,0.94,0.76,0.756028,0.765634,0.851447
001_h264_8K.mp4,max,0.998907,0.998245,0.998051,0.999289,0.999798,12.438612,13.460629,0.990056,0.999574,0.999593,0.999538,60,60,60,0.999999,0.999905,98.326403,60,878.1,1165.09,619.81,222.44,0.999314,0.999638,0.999601
