Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,float_ms_ssim,vmaf,psnr_avg,mse_avg,mse_y,mse_u,mse_v,ssim_y,ssim_u,ssim_v
0,0.988934,0.986135,0.9760110000000001,0.98708,0.995201,0.0,0.0,0.823895,0.977577,0.9884959999999999,0.9929870000000001,47.170411,49.285998,49.537597,0.998519,0.9972610000000001,93.819598,48.66466866666667,1.08,1.25,0.77,0.72,0.988853,0.991338,0.990592
1,0.980449,0.980842,0.964047,0.975052,0.9890559999999999,8.580132,8.580132,0.7924829999999999,0.966678,0.983086,0.9899190000000001,45.828741,49.049752000000005,49.3123,0.9978290000000001,0.996416,100.0,48.06359766666667,1.39,1.7,0.81,0.76,0.986617,0.991147,0.9904
2,0.9868870000000001,0.9840969999999999,0.975193,0.982657,0.994268,9.155875,9.155875,0.8194469999999999,0.9790610000000001,0.990883,0.9948290000000001,46.717334,49.412555,49.689753,0.998114,0.9969,100.0,48.60654733333333,1.16,1.38,0.74,0.7,0.988088,0.99191,0.991272
3,0.6243270000000001,0.9491790000000001,0.770601,0.587376,0.48469399999999996,9.67936,9.897637,0.136987,0.20921700000000001,0.24019000000000001,0.262732,23.508543,43.865083,45.955217,0.6365609999999999,0.681081,11.789869,37.776281000000004,193.98,289.89,2.67,1.65,0.694309,0.977106,0.982845
4,0.611112,0.9448110000000001,0.755568,0.577209,0.46906400000000004,9.67936,9.67936,0.138989,0.206182,0.23396199999999998,0.253067,23.334386,43.590545,45.909819,0.6396430000000001,0.681855,10.52839,37.611583333333336,201.92,301.75,2.84,1.67,0.713048,0.978168,0.983836
5,0.627111,0.948018,0.763376,0.5882430000000001,0.482946,10.077753999999999,10.077753999999999,0.134534,0.19733499999999998,0.21971999999999997,0.229742,22.39351,43.053294,45.702065999999995,0.596747,0.6341100000000001,13.07842,37.04962333333333,250.65,374.74,3.22,1.75,0.705697,0.977163,0.984106
6,0.6499020000000001,0.9498190000000001,0.786119,0.6065010000000001,0.510813,11.298969,11.545910000000001,0.145814,0.2118,0.233477,0.2418,22.607192,43.212173,45.856402,0.611395,0.647409,15.532739999999999,37.22525566666667,238.63,356.75,3.1,1.69,0.719767,0.97863,0.985466
7,0.653497,0.951727,0.792574,0.611653,0.5142220000000001,11.298969,11.298969,0.140321,0.204227,0.224971,0.232163,22.294638,42.925822,45.684699,0.594539,0.629907,16.382927,36.968386333333335,256.42,383.37,3.32,1.76,0.7113,0.977663,0.984913
8,0.5730430000000001,0.9444790000000001,0.74733,0.505317,0.406617,11.706560000000001,11.706560000000001,0.12311300000000001,0.172268,0.182277,0.179053,19.526851999999998,41.140994,44.231203,0.497863,0.495096,10.638800999999999,34.966349666666666,484.64,725.1,5.0,2.45,0.678562,0.975784,0.983952
9,0.586525,0.946585,0.737821,0.50753,0.436434,11.762685000000001,11.762685000000001,0.12473,0.172717,0.182248,0.17942,19.349355,41.015903,44.139263,0.49658,0.49122,11.929423,34.83484033333333,504.84,755.34,5.15,2.51,0.67619,0.975197,0.983647
10,0.579612,0.9443799999999999,0.728258,0.5048520000000001,0.422907,11.988052,11.988052,0.130814,0.17995799999999998,0.189604,0.186175,19.375964,41.011499,44.140265,0.507474,0.499503,10.862717,34.842576,501.76,750.73,5.15,2.51,0.689363,0.976852,0.984728
11,0.5950949999999999,0.9424100000000001,0.7364229999999999,0.491933,0.463542,12.152703,12.152703,0.13201,0.180402,0.18948099999999998,0.18554,19.189527,40.960347,44.128060999999995,0.509987,0.49879799999999996,12.458741,34.75931166666666,523.73,783.66,5.21,2.51,0.690066,0.976824,0.984726
12,0.600063,0.945965,0.752612,0.491097,0.464871,12.319242,12.319242,0.139022,0.187905,0.19634300000000002,0.190689,19.226729000000002,41.019201,44.130931,0.513378,0.502972,12.530178,34.792286999999995,519.26,776.98,5.14,2.51,0.696916,0.977812,0.985529
