Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,float_ms_ssim,vmaf,psnr_avg,mse_avg,mse_y,mse_u,mse_v,ssim_y,ssim_u,ssim_v
0,0.981035,0.989937,0.972249,0.97031,0.98693,0.0,0.0,0.913661,0.974216,0.982374,0.986879,49.452634,52.921879,52.569413,0.999023,0.99834,91.320266,51.647975333333335,0.61,0.74,0.33,0.36,0.995197,0.995809,0.99529
1,0.980297,0.98826,0.972302,0.969926,0.986071,3.44069,3.496962,0.902568,0.970658,0.980313,0.985643,48.803286,52.884341,52.476423,0.998896,0.99811,95.541127,51.38801666666666,0.69,0.86,0.33,0.37,0.994605,0.995663,0.995069
2,0.980268,0.988584,0.971782,0.969885,0.986074,3.44069,3.44069,0.901142,0.969917,0.979929,0.98554,48.740335,52.864149,52.399072,0.998875,0.998079,95.504999,51.33451866666667,0.7,0.87,0.34,0.37,0.994564,0.995667,0.995008
3,0.801889,0.97504,0.853736,0.729637,0.745575,3.587335,3.587335,0.434014,0.504555,0.535112,0.563751,29.621099,45.962236,44.935535,0.864184,0.877962,25.462437,40.17295666666667,47.92,70.95,1.65,2.09,0.898816,0.986048,0.983377
4,0.741181,0.96613,0.810473,0.648968,0.669571,3.726027,3.726027,0.423178,0.489894,0.518955,0.547813,29.527749,45.974413,44.877503,0.862176,0.875773,15.311283,40.126554999999996,48.96,72.49,1.64,2.12,0.895921,0.985706,0.982741
5,0.818736,0.978756,0.889683,0.765778,0.748475,3.53031,3.803648,0.454731,0.526044,0.556362,0.585703,30.053263,46.286203,45.241234,0.878136,0.890291,28.89186,40.526900000000005,43.4,64.23,1.53,1.95,0.906042,0.98693,0.984333
6,0.776753,0.971475,0.841144,0.686722,0.719622,3.53031,3.53031,0.428446,0.499925,0.531486,0.561258,29.573572,45.859928,44.842879,0.869622,0.880637,21.224702,40.09212633333333,48.46,71.73,1.69,2.13,0.895281,0.98535,0.982445
7,0.801206,0.973748,0.866011,0.732122,0.739639,3.53379,3.718371,0.449538,0.520826,0.55205,0.580907,30.119178,46.351681,45.34826,0.883039,0.893382,25.764257,40.606373,42.74,63.26,1.51,1.9,0.906129,0.987194,0.98461
8,0.758156,0.977784,0.857996,0.686631,0.66302,3.509271,3.53379,0.407772,0.465643,0.486923,0.498048,27.479215,43.916519,42.617439,0.807888,0.830594,16.528902,38.004391,78.49,116.19,2.64,3.56,0.879066,0.982259,0.978503
9,0.714767,0.970624,0.836494,0.632744,0.601632,3.264224,3.509271,0.39915,0.455066,0.475679,0.487483,27.427464,43.97899,42.584381,0.803432,0.826816,9.646081,37.996945000000004,79.42,117.58,2.6,3.59,0.87551,0.982044,0.978016
10,0.671764,0.970225,0.816555,0.572644,0.543373,3.264224,3.264224,0.381046,0.433712,0.45143,0.460382,27.046858,43.768424,42.35647,0.788035,0.814264,3.425822,37.72391733333333,86.65,128.35,2.73,3.78,0.8704,0.981666,0.977363
11,0.662776,0.973428,0.804406,0.564349,0.529402,3.537879,3.537879,0.37835,0.429446,0.446048,0.453642,26.650684,43.387387,42.045178,0.776913,0.804727,2.398078,37.361083,94.91,140.61,2.98,4.06,0.86718,0.980886,0.976472
12,0.666592,0.971859,0.831598,0.596301,0.503338,3.663383,3.663383,0.38106,0.432069,0.447446,0.45203,26.736547,43.468387,42.095684,0.777248,0.805834,2.877659,37.433539333333336,93.06,137.86,2.93,4.01,0.870815,0.982059,0.977687
13,0.609944,0.969654,0.786475,0.504324,0.444045,3.765749,3.765749,0.361626,0.40588,0.417011,0.414169,25.602857,42.44564,41.057342,0.743986,0.77735,0.0,36.368613,120.78,178.98,3.7,5.1,0.866811,0.982114,0.977386
14,0.603551,0.968441,0.783008,0.488275,0.437065,3.306653,3.812612,0.366411,0.411612,0.420998,0.416717,25.408711,42.232222,40.816908,0.742505,0.776371,0.0,36.15261366666667,126.32,187.16,3.89,5.39,0.867975,0.981672,0.97671
15,0.624655,0.969463,0.792803,0.503331,0.47235,3.306653,3.306653,0.368429,0.414875,0.426218,0.426296,25.668987,42.465333,41.072483,0.752497,0.784132,0.0,36.40226766666667,118.98,176.27,3.69,5.08,0.868916,0.982037,0.977181
16,0.691649,0.97416,0.835816,0.598601,0.541892,3.5598,3.5598,0.383036,0.434255,0.445679,0.444934,25.683735,42.413175,40.985125,0.755643,0.786687,6.023343,36.36067833333333,118.6,175.67,3.73,5.18,0.869336,0.982118,0.977165
17,0.6756,0.970835,0.827077,0.593588,0.522905,2.906496,3.643656,0.399828,0.444317,0.454456,0.452368,25.630811,42.301608,40.90699,0.759656,0.789468,2.958334,36.27980300000001,120.07,177.83,3.83,5.28,0.871137,0.981158,0.976027
18,0.653143,0.970208,0.817321,0.588161,0.466958,2.906496,2.906496,0.369324,0.414166,0.422268,0.414705,24.242767,41.065168,39.612476,0.717405,0.754349,0.294014,34.97347033333333,165.23,244.8,5.09,7.11,0.860502,0.981208,0.97551
19,0.617753,0.96869,0.788018,0.518143,0.445412,3.625246,3.625246,0.350148,0.394433,0.405067,0.402951,24.264524,41.090694,39.607598,0.715939,0.75272,0.0,34.987605333333335,164.41,243.57,5.06,7.12,0.856986,0.980858,0.975031
20,0.663284,0.976561,0.821837,0.598248,0.492089,3.697754,3.917205,0.353406,0.397406,0.408304,0.407832,24.100043,40.888015,39.368827,0.716437,0.750684,2.891689,34.785628333333335,170.79,252.97,5.3,7.52,0.852788,0.978593,0.972185
21,0.579239,0.956345,0.721299,0.471501,0.414338,3.697754,3.697754,0.347198,0.392044,0.403369,0.401031,24.458965,41.26458,39.738691,0.725637,0.760693,0.0,35.15407866666667,157.23,232.91,4.86,6.91,0.862042,0.98148,0.975551
