Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,float_ms_ssim,vmaf,psnr_avg,mse_avg,mse_y,mse_u,mse_v,ssim_y,ssim_u,ssim_v
0,0.971147,0.97624,0.948933,0.9642620000000001,0.984028,0.0,0.0,0.760681,0.9496969999999999,0.9727620000000001,0.9837229999999999,44.75002,50.366096,49.941163,0.9982549999999999,0.995418,88.47340200000001,48.352426333333334,1.66,2.18,0.6,0.66,0.984965,0.991165,0.990593
1,0.9689059999999999,0.974448,0.944203,0.9598530000000001,0.9841129999999999,3.016437,3.016437,0.74046,0.9439059999999999,0.9694139999999999,0.9815139999999999,44.367695,50.244134,49.772262,0.998079,0.994926,91.546575,48.128030333333335,1.8,2.38,0.61,0.69,0.983464,0.990902,0.990216
2,0.9683209999999999,0.972981,0.9410950000000001,0.9621120000000001,0.9834780000000001,3.3869339999999997,3.3869339999999997,0.743492,0.9444379999999999,0.969749,0.981683,44.399437,49.951996,49.628308000000004,0.998094,0.9950200000000001,91.916124,47.993247,1.8,2.36,0.66,0.71,0.98379,0.99029,0.989861
3,0.730337,0.9190959999999999,0.7198359999999999,0.628918,0.720936,3.7289519999999996,3.7289519999999996,0.194826,0.339316,0.42613500000000004,0.5077520000000001,29.041493,46.006370000000004,47.363849,0.8505889999999999,0.829151,18.306632,40.803904,54.53,81.08,1.63,1.19,0.779793,0.978394,0.983146
4,0.6779649999999999,0.936823,0.749879,0.588585,0.597579,4.4657160000000005,4.4657160000000005,0.166047,0.279217,0.350475,0.41753900000000005,28.45461,45.663796000000005,47.054713,0.817048,0.803828,12.08668,40.39103966666667,62.38,92.82,1.76,1.28,0.766437,0.977499,0.982468
5,0.69719,0.938357,0.754829,0.6032,0.6291720000000001,4.888123,5.039623000000001,0.17741800000000002,0.301726,0.378602,0.45241800000000004,28.557503999999998,45.83217,47.250943,0.8336870000000001,0.813704,14.608718,40.54687233333333,60.92,90.64,1.7,1.22,0.765617,0.977851,0.983081
6,0.82619,0.9450959999999999,0.796477,0.755728,0.8353510000000001,3.6300160000000004,4.888123,0.250269,0.446812,0.545296,0.623638,30.467017,46.854061,48.117554999999996,0.892661,0.872165,34.988628999999996,41.812877666666665,39.32,58.4,1.34,1.0,0.823677,0.981841,0.985642
7,0.8279280000000001,0.9350450000000001,0.7922020000000001,0.770506,0.8370719999999999,3.3520220000000003,3.6300160000000004,0.280509,0.5019859999999999,0.596013,0.664404,30.722863,46.742414000000004,47.994240000000005,0.897173,0.879705,36.246703000000004,41.819839,37.1,55.05,1.38,1.03,0.835635,0.981308,0.985218
8,0.768295,0.9282360000000001,0.764881,0.708754,0.741495,3.10565,3.3520220000000003,0.263248,0.46207299999999996,0.545404,0.606517,28.880846999999996,46.208523,47.994116,0.8376979999999999,0.830407,23.641647,41.027828666666665,56.52,84.14,1.56,1.03,0.813182,0.980473,0.985529
9,0.775396,0.9115,0.730348,0.714681,0.7782220000000001,2.8599229999999998,3.10565,0.227501,0.414883,0.507055,0.577835,28.548403999999998,45.811109,47.189842999999996,0.826736,0.813284,24.612548999999998,40.516451999999994,61.05,90.83,1.71,1.24,0.78444,0.978843,0.982761
