Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,float_ms_ssim,vmaf,psnr_avg,mse_avg,mse_y,mse_u,mse_v,ssim_y,ssim_u,ssim_v
0,0.997847,0.996889,0.995119,0.997429,0.99972,0.0,0.0,0.978858,0.999115,0.999333,0.999311,59.226619,60.0,60.0,0.999999,0.999865,96.858719,59.742206333333336,0.07,0.08,0.04,0.05,0.999029,0.999262,0.999253
1,0.994756,0.9946,0.991092,0.992126,0.997966,6.38081,6.38081,0.95786,0.99776,0.998606,0.99884,55.951942,57.824229,57.669572,0.999994,0.999652,100.0,57.148581,0.15,0.17,0.11,0.11,0.997792,0.998267,0.998201
2,0.995364,0.995082,0.991531,0.993038,0.998692,7.866648,7.866648,0.963414,0.99824,0.998831,0.998891,56.61822,58.742796,58.630098,0.999996,0.999709,100.0,57.997038,0.12,0.14,0.09,0.09,0.998067,0.998585,0.998547
3,0.755742,0.985534,0.932283,0.731176,0.504748,7.98001,7.98001,0.417795,0.42788,0.406507,0.358828,25.534461,45.035697,44.699669,0.697731,0.766668,17.053765,38.42327566666666,121.92,181.82,2.04,2.2,0.901587,0.99042,0.989447
4,0.73321,0.983065,0.908866,0.693928,0.486641,7.662131,8.094782,0.404019,0.415735,0.395814,0.35039,26.006416,45.289487,44.959286,0.728416,0.770798,13.771343,38.75172966666667,109.4,163.09,1.92,2.08,0.897311,0.989675,0.988725
5,0.722404,0.984227,0.917885,0.693402,0.470619,7.662131,7.662131,0.367987,0.380698,0.363063,0.320549,25.921043,45.240522,44.901481,0.729402,0.76227,13.167499,38.687681999999995,111.56,166.33,1.95,2.1,0.89063,0.989359,0.988331
6,0.725223,0.983437,0.911691,0.685758,0.488903,7.268594,7.699554,0.373654,0.388581,0.372517,0.332425,26.399407,45.593082,45.124861,0.764321,0.769537,13.092798,39.03911666666667,99.95,148.98,1.79,2.0,0.884784,0.988895,0.987565
7,0.687909,0.981794,0.896317,0.641006,0.45259,7.205552,7.268594,0.323554,0.340111,0.329606,0.298275,26.466544,45.756324,45.280767,0.771786,0.772783,9.828723,39.167878333333334,98.41,146.7,1.73,1.93,0.883521,0.98912,0.987738
8,0.670563,0.981135,0.890461,0.626547,0.397042,6.623255,7.205552,0.322794,0.330675,0.30975,0.26447,23.853171,43.614795,43.143082,0.580242,0.672829,7.351885,36.87034933333334,179.51,267.77,2.83,3.15,0.860628,0.987323,0.985766
9,0.665814,0.980056,0.885214,0.62936,0.403511,6.395644,6.623255,0.294739,0.304921,0.287361,0.247671,23.915596,43.718556,43.209698,0.602501,0.672045,7.950463,36.94795,176.94,263.95,2.76,3.11,0.852888,0.986685,0.984907
10,0.676896,0.978808,0.882765,0.638435,0.42989,6.25637,6.395644,0.283972,0.296354,0.280811,0.243696,24.077755,43.918844,43.287166,0.613365,0.674182,9.661206,37.094588333333334,170.47,254.28,2.64,3.05,0.851369,0.987137,0.985148
11,0.664259,0.976251,0.870477,0.616536,0.426417,6.25637,6.25637,0.272133,0.28497,0.271285,0.237297,24.092993,43.81541,43.244703,0.609409,0.677051,8.793952,37.05103533333333,169.89,253.39,2.7,3.08,0.853335,0.986802,0.984975
12,0.636635,0.973255,0.852437,0.578723,0.391023,6.256737,6.256737,0.262638,0.274674,0.260642,0.226254,23.760364,43.64476,43.080354,0.590256,0.664393,6.225304,36.82849266666667,183.37,273.55,2.81,3.2,0.848903,0.986617,0.984701
13,0.651733,0.977241,0.869801,0.591809,0.396184,6.282889,6.282889,0.275753,0.285222,0.267402,0.226755,22.237208,42.383529,41.890471,0.455105,0.631928,7.306991,35.503736,260.31,388.47,3.76,4.21,0.853695,0.987043,0.985448
14,0.651688,0.977528,0.863821,0.59635,0.397656,6.553307,6.553307,0.272134,0.281476,0.264121,0.224454,21.877465,42.111377,41.618179,0.433989,0.625922,7.720498,35.20234033333333,282.76,422.02,4.0,4.48,0.85232,0.987181,0.985516
15,0.64246,0.977171,0.863135,0.578728,0.386397,6.672606,6.672606,0.269013,0.278531,0.261562,0.222675,21.757531,42.019021,41.504127,0.428536,0.6213,6.933566,35.093559666666664,290.67,433.84,4.08,4.6,0.849203,0.986887,0.985161
16,0.673177,0.980729,0.889302,0.610674,0.413611,7.177362,7.177362,0.29874,0.306709,0.286656,0.24254,21.857553,42.084716,41.579687,0.433575,0.629642,9.295582,35.17398533333333,284.06,423.96,4.02,4.52,0.855712,0.987407,0.985838
17,0.683404,0.98021,0.88887,0.629648,0.43417,6.838251,7.806205,0.301105,0.309112,0.288581,0.244119,22.049838,42.260407,41.758148,0.447207,0.630985,10.159607,35.356131000000005,271.77,405.6,3.86,4.34,0.853613,0.987043,0.985395
18,0.651705,0.97981,0.876643,0.592599,0.38538,6.838251,6.838251,0.278687,0.287346,0.268437,0.226608,21.166977,41.568903,41.021912,0.396492,0.613075,7.582349,34.58593066666666,332.97,497.03,4.53,5.14,0.84906,0.987065,0.985412
19,0.658243,0.979607,0.876089,0.606067,0.393059,6.916392,7.197734,0.282695,0.291701,0.272188,0.229376,21.299499,41.641177,41.071775,0.39914,0.610626,8.151266,34.670817,322.98,482.09,4.46,5.08,0.846641,0.986711,0.984949
20,0.646075,0.977025,0.864039,0.585877,0.391773,6.628763,6.916392,0.267011,0.277154,0.259613,0.219562,21.380792,41.677505,41.11429,0.40096,0.606405,7.402351,34.72419566666667,317.01,473.15,4.42,5.03,0.842239,0.986306,0.984405
21,0.658653,0.97887,0.875496,0.608806,0.396204,6.628763,6.628763,0.274344,0.284024,0.265769,0.22449,21.533526,41.812445,41.235289,0.409609,0.605592,8.43299,34.86042,306.06,456.8,4.28,4.89,0.839877,0.986396,0.984518
22,0.669465,0.978802,0.88012,0.624079,0.414969,6.372767,7.618196,0.287006,0.296134,0.276534,0.233013,22.089122,42.21729,41.714136,0.445681,0.614512,8.819941,35.340182666666664,269.35,401.95,3.9,4.38,0.840433,0.986062,0.984292
23,0.651171,0.977774,0.867674,0.5894,0.410264,6.372767,6.372767,0.250978,0.262389,0.246792,0.209782,21.88967,42.057162,41.502589,0.433928,0.600558,8.714867,35.149807,282.0,420.84,4.05,4.6,0.829063,0.985378,0.98337
24,0.65361,0.976423,0.86407,0.597615,0.411187,5.815787,6.395397,0.252879,0.264794,0.249563,0.21222,22.410161,42.483566,41.90349,0.472825,0.615362,8.442629,35.59907233333333,250.18,373.31,3.67,4.19,0.834945,0.985807,0.983848
25,0.627873,0.971312,0.83851,0.571437,0.391803,4.746951,5.815787,0.239034,0.254314,0.242984,0.211838,22.750347,42.799697,42.206306,0.51271,0.628794,5.54085,35.91878333333333,231.34,345.18,3.41,3.91,0.831325,0.985313,0.983095
26,0.650452,0.969845,0.841439,0.57973,0.44513,4.746951,4.746951,0.244211,0.26202,0.253154,0.225483,22.875426,42.882205,42.280628,0.528165,0.643486,7.532468,36.012753000000004,224.79,335.38,3.35,3.85,0.836532,0.985525,0.98333
27,0.611992,0.965995,0.818146,0.53613,0.391992,4.025232,5.011727,0.22687,0.242971,0.233639,0.205546,22.52355,42.597163,41.98223,0.500559,0.626896,4.152559,35.700981,243.74,363.69,3.58,4.12,0.830215,0.984906,0.982641
28,0.566131,0.960177,0.787343,0.477719,0.328033,4.025232,4.025232,0.202284,0.218308,0.208846,0.180335,21.215705,41.599874,41.053839,0.388188,0.585288,1.524246,34.623139333333334,329.26,491.48,4.5,5.1,0.827193,0.985518,0.983376
29,0.596657,0.968561,0.825173,0.517953,0.344373,4.611409,4.611409,0.225664,0.238567,0.225287,0.191632,20.877298,41.346125,40.793365,0.363614,0.589507,3.328854,34.33892933333333,355.91,531.31,4.77,5.42,0.838245,0.986461,0.984613
30,0.569137,0.965894,0.807731,0.483998,0.312646,4.729604,5.405777,0.208165,0.222027,0.211204,0.181472,20.605494,41.183658,40.614633,0.349536,0.586789,1.951804,34.134595,378.85,565.63,4.95,5.64,0.837772,0.987278,0.985506
