Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,float_ms_ssim,vmaf,psnr_avg,mse_avg,mse_y,mse_u,mse_v,ssim_y,ssim_u,ssim_v
0,0.999398,0.998484,0.998735,0.999709,0.999996,0.0,0.0,0.988252,0.999524,0.999634,0.999595,60.0,60.0,60.0,0.999998,0.999889,97.239476,60.0,0.05,0.05,0.03,0.03,0.999213,0.999558,0.999546
1,0.997884,0.995988,0.99584,0.998075,0.999732,2.660154,2.68264,0.967093,0.998625,0.999233,0.99939,56.174172,57.833566,57.932235,0.999994,0.999665,100.0,57.31332433333333,0.14,0.16,0.11,0.1,0.997796,0.9983,0.998355
2,0.998041,0.996637,0.996518,0.998217,0.999367,2.481614,2.660154,0.970314,0.998741,0.999216,0.999362,56.555198,58.437487,58.528354,0.999995,0.999694,100.0,57.840346333333336,0.13,0.14,0.09,0.09,0.997951,0.998516,0.99856
3,0.866437,0.963019,0.868859,0.801236,0.854346,2.23784,2.481614,0.679028,0.742636,0.752303,0.752991,33.833051,42.401451,43.005791,0.958564,0.947544,45.441411,39.74676433333333,19.1,26.9,3.74,3.25,0.960472,0.965122,0.971719
4,0.849606,0.960321,0.867089,0.791316,0.81883,2.23784,2.23784,0.677163,0.738487,0.747601,0.74835,33.596649,42.398607,42.792784,0.958492,0.946115,41.7684,39.59601333333333,20.13,28.41,3.74,3.42,0.958913,0.965111,0.971128
5,0.83958,0.962262,0.856131,0.768708,0.811541,2.274083,2.274083,0.662155,0.728013,0.739334,0.742783,33.785404,42.294632,42.480633,0.957764,0.945504,39.431674,39.520223,19.38,27.2,3.83,3.67,0.958417,0.9649,0.970633
6,0.770335,0.952578,0.808235,0.6809,0.711816,2.281602,2.281602,0.628375,0.684801,0.692604,0.690538,32.323712,42.291795,42.607618,0.946135,0.932258,23.001163,39.074375,26.62,38.08,3.84,3.57,0.951536,0.964672,0.970727
7,0.809182,0.96143,0.864648,0.747722,0.738596,2.478949,2.661649,0.653972,0.709622,0.716524,0.713633,33.043585,42.25561,42.332643,0.955496,0.940856,31.788781,39.21061266666666,22.79,32.26,3.87,3.8,0.955828,0.964514,0.969657
8,0.81615,0.963542,0.865159,0.744182,0.758811,2.412619,2.478949,0.606233,0.656623,0.659308,0.64989,30.242424,41.658516,41.158218,0.913152,0.908481,29.063421,37.686386,42.57,61.49,4.44,4.98,0.942394,0.962956,0.967435
9,0.813321,0.961288,0.84914,0.739694,0.765348,2.412619,2.412619,0.603667,0.656287,0.660318,0.652868,30.193818,41.615132,41.191536,0.913016,0.908819,28.73703,37.66682866666667,43.03,62.19,4.48,4.94,0.942883,0.963494,0.96805
10,0.733072,0.949472,0.784344,0.625057,0.664271,2.37269,2.414559,0.584745,0.635348,0.638915,0.63108,29.958545,41.132892,40.61627,0.911488,0.906144,13.529552,37.235902333333335,45.54,65.65,5.01,5.64,0.940804,0.962921,0.967154
11,0.765918,0.95657,0.810554,0.700896,0.685003,2.37269,2.37269,0.590189,0.638994,0.641666,0.632517,29.912513,41.197415,40.896592,0.908846,0.906044,19.191502,37.33550666666667,45.94,66.35,4.94,5.29,0.94157,0.963995,0.968474
12,0.766244,0.961066,0.825412,0.693541,0.67773,2.411102,2.411102,0.600281,0.643413,0.64281,0.629667,29.732945,41.379231,40.876321,0.905524,0.902775,19.053765,37.329499,47.77,69.15,4.73,5.31,0.940513,0.964625,0.9687
13,0.742501,0.960886,0.826018,0.662879,0.633538,2.466992,2.471848,0.563793,0.59895,0.593681,0.572345,27.555679,40.920533,39.907861,0.853751,0.868735,12.716544,36.128024333333336,78.09,114.16,5.26,6.64,0.930443,0.964532,0.967393
14,0.705896,0.957131,0.810017,0.623253,0.574752,2.466992,2.466992,0.545573,0.581984,0.577186,0.556436,27.233254,40.973927,39.693196,0.839707,0.86288,6.408232,35.96679233333334,84.0,122.96,5.2,6.98,0.929443,0.965054,0.967436
15,0.689039,0.950198,0.765958,0.586561,0.577662,2.53871,2.53871,0.559532,0.597087,0.594252,0.576321,27.892895,41.42747,40.584035,0.860542,0.876777,4.383683,36.6348,72.15,105.63,4.68,5.68,0.933804,0.966219,0.969582
16,0.689779,0.952958,0.796024,0.598374,0.551204,2.570796,2.570796,0.577056,0.611833,0.606,0.584255,27.213956,41.442246,40.95572,0.841316,0.871495,4.586316,36.53730733333333,83.98,123.51,4.67,5.22,0.935353,0.967695,0.971489
17,0.628659,0.952421,0.786659,0.533984,0.437119,2.877568,2.877568,0.553352,0.579249,0.567544,0.536932,26.058395,40.598364,39.737763,0.801506,0.842223,0.0,35.46484066666667,109.53,161.15,5.67,6.91,0.923281,0.962663,0.96516
18,0.635662,0.95684,0.798581,0.571865,0.424399,3.187452,3.187452,0.543014,0.568659,0.556536,0.52491,25.241138,39.615519,38.771949,0.775374,0.831019,0.0,34.542868666666664,132.3,194.52,7.1,8.63,0.921013,0.964965,0.965911
19,0.659399,0.947174,0.771164,0.571281,0.505753,2.575251,3.279833,0.539164,0.571024,0.563181,0.53812,25.855085,39.628046,39.127778,0.805321,0.845273,0.0,34.870303,115.09,168.88,7.08,7.95,0.923853,0.965704,0.967037
20,0.668345,0.953608,0.783204,0.574102,0.51502,2.575251,2.575251,0.551838,0.582912,0.574687,0.548688,25.974028,39.286311,38.936906,0.812081,0.84971,0.319597,34.732415,112.21,164.32,7.66,8.31,0.924694,0.963786,0.965682
21,0.741608,0.957801,0.818794,0.673576,0.628252,2.819087,3.115419,0.588686,0.621229,0.614151,0.590387,26.867361,40.710243,39.878888,0.839938,0.871448,13.42436,35.81883066666666,91.21,133.77,5.52,6.69,0.934627,0.967268,0.968422
22,0.736207,0.953593,0.816266,0.640128,0.64317,2.415056,2.819087,0.564397,0.604042,0.601209,0.582996,27.255348,41.198809,40.021733,0.849029,0.873333,12.067205,36.158629999999995,83.46,122.33,4.93,6.47,0.933444,0.966817,0.96802
23,0.734247,0.956388,0.810528,0.635587,0.641195,2.37982,2.415056,0.547854,0.585895,0.581166,0.559368,26.206772,40.762952,39.330023,0.81683,0.853759,10.937379,35.433248999999996,106.0,155.74,5.45,7.59,0.926747,0.964598,0.9655
24,0.723384,0.954335,0.821195,0.643561,0.605741,2.37982,2.37982,0.545005,0.581135,0.575461,0.552853,26.271445,40.938511,39.268813,0.816764,0.854441,8.974785,35.492923,104.45,153.44,5.24,7.69,0.927766,0.966682,0.96676
25,0.716074,0.950414,0.787752,0.642035,0.606134,2.316,2.403322,0.541911,0.579143,0.574063,0.551762,26.304864,40.89515,39.174113,0.817866,0.854058,7.747077,35.45804233333333,103.7,152.26,5.29,7.86,0.927006,0.966066,0.966041
26,0.702957,0.952434,0.818953,0.586856,0.588916,2.316,2.316,0.544006,0.580423,0.57515,0.552879,26.383752,40.894105,39.136473,0.819902,0.85561,5.68499,35.47144333333333,101.89,149.52,5.29,7.93,0.927818,0.966538,0.966433
27,0.68633,0.950073,0.785953,0.610772,0.54737,2.383971,2.456922,0.54014,0.57825,0.573728,0.552845,26.501002,40.36207,38.821397,0.821329,0.855509,3.213126,35.22815633333334,99.44,145.54,5.98,8.53,0.926811,0.96462,0.964915
28,0.638114,0.946718,0.775181,0.552767,0.46199,2.271435,2.383971,0.523176,0.556849,0.549554,0.524115,25.436809,39.019147,37.714933,0.790952,0.839924,0.0,34.056963,127.16,185.95,8.15,11.0,0.921979,0.965135,0.965045
29,0.610461,0.945685,0.768605,0.506996,0.424296,2.271435,2.271435,0.518408,0.550606,0.542501,0.516014,25.180747,38.690664,37.506468,0.784042,0.835526,0.0,33.79262633333333,134.89,197.24,8.79,11.55,0.920694,0.965231,0.964947
30,0.606423,0.949414,0.766198,0.505918,0.412634,2.324049,2.501246,0.518828,0.550163,0.540998,0.512905,25.070315,38.390117,37.132781,0.775871,0.830144,0.0,33.531071,138.55,202.32,9.42,12.58,0.918483,0.964004,0.963032
31,0.602918,0.946308,0.764023,0.502005,0.408855,2.324049,2.324049,0.515115,0.545383,0.535961,0.507277,24.938184,38.587063,37.184388,0.771626,0.828147,0.0,33.56987833333333,142.62,208.57,9.0,12.43,0.918719,0.965108,0.964411
32,0.612977,0.950073,0.77178,0.528054,0.412546,2.325151,2.325151,0.517798,0.547208,0.537069,0.507168,24.923562,39.056745,37.416139,0.765107,0.825064,0.0,33.79881533333333,142.83,209.28,8.08,11.79,0.918401,0.964481,0.964282
33,0.638289,0.951185,0.78809,0.564618,0.443134,2.525689,2.574992,0.517851,0.547931,0.537966,0.508165,24.641383,39.195134,37.190626,0.75,0.819161,0.0,33.67571433333333,152.26,223.33,7.83,12.42,0.91705,0.963488,0.963405
