Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,float_ms_ssim,vmaf,psnr_avg,mse_avg,mse_y,mse_u,mse_v,ssim_y,ssim_u,ssim_v
0,0.957041,0.966594,0.937862,0.944581,0.970312,0.0,0.0,0.714063,0.918735,0.949221,0.966784,40.85245,47.663186,48.792927,0.997536,0.99415,83.070249,45.769521,3.89,5.34,1.11,0.86,0.981343,0.986424,0.989017
1,0.956824,0.968001,0.935705,0.950758,0.965886,2.629608,2.629608,0.709819,0.916111,0.947626,0.965407,40.90513,47.282384,48.650663,0.997391,0.993974,86.187192,45.61272566666667,3.87,5.28,1.22,0.89,0.981202,0.985021,0.98854
2,0.955892,0.966365,0.93279,0.948935,0.966701,2.636026,2.727335,0.706767,0.915964,0.947754,0.965544,40.808198,47.300054,48.629754,0.997403,0.993917,86.01245,45.579335333333326,3.95,5.4,1.21,0.89,0.980873,0.985152,0.988519
3,0.906049,0.9441,0.877493,0.889311,0.915417,2.613591,2.636026,0.484798,0.725295,0.774468,0.80005,28.623351,39.385336,41.617769,0.928914,0.926395,58.076674,36.54215200000001,61.51,89.28,7.49,4.48,0.928225,0.966661,0.977402
4,0.882193,0.931113,0.838536,0.863497,0.895482,2.613591,2.613591,0.430717,0.676108,0.73773,0.774527,28.414945,39.179,41.476467,0.927026,0.92105,51.303104,36.356804000000004,64.53,93.67,7.86,4.63,0.914412,0.965294,0.976468
5,0.897074,0.940211,0.864896,0.87526,0.909752,2.537484,2.773623,0.460689,0.703906,0.759618,0.790544,28.953695,39.411969,41.806468,0.931078,0.927193,55.400252,36.724044,57.12,82.74,7.45,4.29,0.924138,0.966316,0.977538
6,0.881184,0.92615,0.841434,0.859391,0.896725,2.537484,2.537484,0.434352,0.684286,0.745298,0.781439,28.953381,39.46802,41.7112,0.931637,0.925651,51.573113,36.710867,57.12,82.75,7.35,4.38,0.916093,0.965456,0.976648
7,0.867835,0.924282,0.824872,0.838332,0.886013,2.544487,2.544487,0.410054,0.660089,0.72743,0.771548,28.899532,39.56621,41.807363,0.932702,0.924453,48.263008,36.75770166666667,57.76,83.78,7.19,4.29,0.909926,0.963013,0.975265
8,0.817753,0.903061,0.763814,0.763549,0.847524,2.453883,2.600251,0.346893,0.574638,0.646879,0.697681,25.713564,36.734818,39.178128,0.894012,0.881616,34.329465,33.875503333333334,119.92,174.47,13.79,7.86,0.87243,0.952523,0.967314
9,0.816271,0.898073,0.763953,0.761222,0.847061,2.367753,2.453883,0.336494,0.569012,0.643176,0.695907,25.735661,36.753163,39.232943,0.893933,0.880304,33.985111,33.907255666666664,119.31,173.59,13.73,7.76,0.869012,0.9521,0.967207
10,0.814405,0.894386,0.752013,0.7636,0.847315,2.367753,2.367753,0.321478,0.554771,0.630933,0.685803,25.712944,36.781785,39.179904,0.89076,0.875593,33.259216,33.891544333333336,119.91,174.5,13.64,7.85,0.862406,0.949936,0.964614
11,0.800974,0.895525,0.734694,0.746084,0.832593,2.404574,2.404574,0.302645,0.531076,0.610467,0.670288,25.692148,36.86275,39.389211,0.885857,0.867843,30.405726,33.981369666666666,120.37,175.33,13.39,7.48,0.849882,0.949273,0.965322
12,0.798773,0.894678,0.739114,0.742486,0.827425,2.423268,2.423268,0.302382,0.528692,0.607577,0.66744,25.786872,36.827008,39.306813,0.885014,0.867871,29.904802,33.973564333333336,117.89,171.55,13.5,7.63,0.850139,0.949747,0.964994
13,0.756546,0.883583,0.690909,0.681911,0.788071,2.408665,2.492086,0.253666,0.461138,0.542691,0.608363,23.91633,34.899431,37.485212,0.854523,0.832024,21.291511,32.10032433333333,181.38,263.9,21.04,11.6,0.814845,0.937481,0.955014
14,0.787098,0.892108,0.72361,0.726726,0.816196,2.408665,2.408665,0.276382,0.500163,0.578698,0.639079,23.981049,34.872614,37.502842,0.862912,0.843982,26.933809,32.118835,178.79,260.0,21.17,11.56,0.83232,0.944467,0.960504
15,0.834581,0.905423,0.780538,0.788103,0.862898,2.380987,2.478666,0.324572,0.569114,0.63895,0.685282,24.311411,34.978321,37.583079,0.876117,0.863336,36.697896,32.290937,165.97,240.96,20.67,11.34,0.863064,0.951653,0.966403
16,0.81979,0.890747,0.757975,0.770717,0.85297,2.244298,2.380987,0.305441,0.53863,0.613586,0.666196,24.117622,34.82816,37.29567,0.873933,0.857237,33.197186,32.080484,173.55,251.95,21.39,12.12,0.847992,0.945087,0.961975
17,0.777408,0.879824,0.712831,0.727097,0.800474,2.244298,2.244298,0.259941,0.472847,0.553673,0.617755,23.748595,34.570728,37.01819,0.86381,0.841126,24.692147,31.779171,188.8,274.3,22.7,12.92,0.81899,0.933565,0.953566
18,0.798977,0.894069,0.746328,0.755521,0.814997,2.507809,2.507809,0.287647,0.505685,0.578935,0.631697,23.384483,33.99315,36.630667,0.859618,0.842406,28.466418,31.336100000000002,205.53,298.29,25.93,14.13,0.834526,0.938874,0.957321
19,0.863797,0.922832,0.83123,0.843308,0.86932,2.770447,2.791891,0.38327,0.618902,0.672967,0.700117,24.028636,34.490486,37.123589,0.871809,0.86587,42.802477,31.880903666666665,177.4,257.17,23.12,12.61,0.883876,0.951369,0.966089
20,0.889081,0.935372,0.867451,0.877926,0.888474,2.352244,2.770447,0.444914,0.660649,0.701069,0.718125,24.444479,34.870385,37.328783,0.875135,0.872257,48.017704,32.214549,161.33,233.69,21.19,12.03,0.89711,0.954777,0.967643
21,0.88519,0.940755,0.870125,0.869963,0.880984,2.12142,2.352244,0.405115,0.632277,0.680578,0.703987,24.616941,35.11094,37.359426,0.875144,0.869496,46.252372,32.36243566666666,155.06,224.59,20.04,11.94,0.885453,0.952918,0.966349
22,0.850084,0.933294,0.831863,0.813749,0.850922,2.026909,2.12142,0.348726,0.566331,0.626893,0.665356,24.583927,35.219698,37.269013,0.870489,0.857225,37.748207,32.357546,156.16,226.3,19.55,12.19,0.858092,0.947451,0.96241
