Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,float_ms_ssim,vmaf,psnr_avg,mse_avg,mse_y,mse_u,mse_v,ssim_y,ssim_u,ssim_v
0,0.949659,0.945173,0.920099,0.947035,0.970085,0.0,0.0,0.338653,0.943061,0.969715,0.982119,40.245887,43.240758,44.106803,0.997915,0.990746,84.5902,42.53114933333334,5.03,6.14,3.08,2.53,0.951089,0.963018,0.964691
1,0.945469,0.941875,0.917294,0.938356,0.968191,0.865354,0.865354,0.241185,0.927029,0.96196,0.977668,39.593613,39.859429,41.140777,0.995556,0.985403,84.389377,40.19793966666666,6.71,7.14,6.72,5.0,0.939452,0.917961,0.930568
2,0.941975,0.940507,0.911992,0.932795,0.965754,1.028934,1.028934,0.242901,0.924944,0.960105,0.975767,39.491958,39.775268,41.398196,0.995559,0.985373,83.605602,40.22180733333333,6.8,7.31,6.85,4.71,0.939583,0.915975,0.93289
3,0.969336,0.9628,0.94961,0.968289,0.983399,0.938245,1.835781,0.27749,0.951813,0.976681,0.986362,40.624471,37.019934,42.363693,0.99514,0.984583,90.698243,40.00269933333333,6.54,5.63,12.91,3.77,0.939324,0.834923,0.94397
4,0.935895,0.931989,0.898814,0.92789,0.96286,0.843543,0.938245,0.21251,0.914703,0.95295,0.970677,38.568994,38.017851,42.992634,0.99497,0.98436,81.568296,39.85982633333334,8.28,9.04,10.26,3.26,0.936867,0.865577,0.951602
5,0.932589,0.929719,0.893374,0.923061,0.961334,0.843543,0.843543,0.194404,0.902429,0.946102,0.966592,38.069161,37.663365,42.697425,0.994424,0.982858,80.370177,39.47665033333334,9.2,10.14,11.14,3.49,0.932692,0.855075,0.948963
6,0.94899,0.944968,0.920127,0.943306,0.970014,0.846665,0.865749,0.235418,0.929285,0.962805,0.977526,39.538072,38.042197,42.886931,0.995301,0.985133,85.154272,40.15573333333333,7.08,7.23,10.21,3.34,0.939886,0.86644,0.949753
7,0.950254,0.943438,0.920458,0.947083,0.9712,0.841373,0.846665,0.229393,0.927479,0.962078,0.977274,39.206123,36.858168,42.412415,0.994731,0.983169,85.385473,39.49223533333333,8.06,7.81,13.4,3.73,0.933913,0.829667,0.944071
8,0.933112,0.930219,0.893305,0.924566,0.961419,0.841373,0.841373,0.203576,0.908242,0.948643,0.96754,38.260939,37.780669,43.010747,0.994709,0.983589,80.608328,39.68411833333334,8.82,9.7,10.84,3.25,0.934651,0.857701,0.950967
9,0.942287,0.938817,0.910152,0.934338,0.966465,0.843595,0.850849,0.221029,0.921363,0.958081,0.97457,38.971887,37.490691,42.879206,0.994917,0.984238,83.378804,39.78059466666667,7.98,8.24,11.59,3.35,0.937161,0.848519,0.949454
10,0.946185,0.941855,0.915314,0.939505,0.969159,0.843595,0.843595,0.225624,0.925093,0.960569,0.976142,38.904693,36.735051,42.429259,0.994547,0.982542,84.400795,39.356334333333336,8.5,8.37,13.79,3.72,0.931718,0.82349,0.94384
11,0.93166,0.928854,0.892033,0.921147,0.961313,0.843706,0.848129,0.19909,0.905385,0.947514,0.967334,38.136493,37.480172,42.996025,0.994423,0.983083,80.270926,39.53756333333334,9.14,9.99,11.62,3.26,0.93342,0.848247,0.950651
12,0.936573,0.932685,0.898948,0.929748,0.962941,0.843706,0.843706,0.213205,0.914052,0.952054,0.969771,38.539444,37.976074,43.162722,0.994881,0.984237,81.597403,39.89274666666667,8.32,9.1,10.36,3.14,0.936783,0.863419,0.952478
13,0.937477,0.934385,0.901753,0.929818,0.963099,0.848199,0.848199,0.208143,0.91361,0.952725,0.970542,38.352098,36.714874,42.470272,0.994277,0.981757,81.901579,39.17908133333333,9.26,9.5,13.85,3.68,0.92893,0.822941,0.944335
14,0.935754,0.932462,0.898946,0.926414,0.963285,0.835613,0.85293,0.209476,0.912368,0.951737,0.969924,38.426941,37.884049,43.059537,0.99482,0.983943,81.434953,39.79017566666667,8.53,9.34,10.58,3.21,0.935933,0.860394,0.951083
15,0.941768,0.937274,0.908544,0.93449,0.966467,0.835613,0.835613,0.220449,0.919846,0.956511,0.973475,38.859927,37.642256,43.037191,0.994897,0.984423,83.111998,39.846458000000005,8.04,8.45,11.19,3.23,0.937744,0.853188,0.951087
16,0.948427,0.941907,0.91802,0.942942,0.971299,0.840007,0.840007,0.238968,0.930732,0.962823,0.977142,39.33958,37.726732,43.125561,0.995184,0.985254,84.98603,40.06395766666666,7.4,7.57,10.98,3.17,0.94053,0.855092,0.952188
17,0.952027,0.946256,0.923316,0.946856,0.973412,0.844173,0.844173,0.240885,0.931147,0.963485,0.977923,39.280705,36.731682,42.489799,0.994784,0.983211,85.825174,39.50072866666667,8.03,7.67,13.8,3.67,0.93394,0.823453,0.944537
18,0.946438,0.940492,0.915389,0.940287,0.969855,0.837103,0.849839,0.229974,0.924821,0.959707,0.975255,39.114707,37.679953,43.048448,0.995087,0.984743,84.320862,39.947702666666665,7.7,7.97,11.09,3.22,0.938741,0.854601,0.951141
19,0.946276,0.940631,0.914693,0.940344,0.96967,0.8316,0.837103,0.231118,0.925159,0.960008,0.975828,39.127471,37.48186,43.034349,0.995039,0.984718,84.334197,39.88122666666666,7.77,7.95,11.61,3.23,0.938805,0.848272,0.951139
20,0.948865,0.941973,0.918045,0.944089,0.971583,0.8316,0.8316,0.233189,0.928723,0.962658,0.977716,39.018777,36.827456,42.548676,0.994728,0.983058,85.129169,39.46496966666667,8.29,8.15,13.5,3.62,0.933221,0.826672,0.945298
21,0.944954,0.939747,0.912783,0.937707,0.969419,0.83773,0.838997,0.225255,0.923158,0.958744,0.974801,39.033773,37.702287,43.04724,0.995073,0.98473,83.955515,39.92776666666666,7.79,8.12,11.04,3.22,0.938525,0.854761,0.951461
22,0.942815,0.937456,0.909783,0.935854,0.96759,0.832476,0.83773,0.222897,0.921042,0.95744,0.973926,38.900928,37.895786,43.106801,0.995109,0.984718,83.390228,39.96783833333333,7.87,8.38,10.56,3.18,0.938296,0.860954,0.951877
23,0.941886,0.936703,0.907809,0.93629,0.966091,0.83194,0.832476,0.216702,0.918528,0.956047,0.973069,38.565323,36.731054,42.547892,0.994499,0.982291,83.097415,39.281423,8.94,9.05,13.8,3.62,0.930639,0.823235,0.945086
24,0.941865,0.936272,0.907828,0.93475,0.96737,0.83194,0.83194,0.224161,0.919744,0.955792,0.972516,38.844243,37.633974,43.107672,0.994949,0.984455,83.005694,39.861963,8.06,8.49,11.21,3.18,0.937899,0.852674,0.951967
25,0.939044,0.93448,0.905315,0.931864,0.96397,0.831149,0.8322,0.217493,0.915218,0.95328,0.970904,38.672023,37.577724,43.049897,0.994866,0.984217,82.216182,39.76654800000001,8.32,8.83,11.36,3.22,0.936934,0.8517,0.951382
26,0.941382,0.936876,0.907972,0.933726,0.966469,0.831149,0.831149,0.22322,0.919536,0.955953,0.972661,38.885651,37.852754,43.086849,0.995057,0.984625,82.926856,39.941751333333336,7.91,8.4,10.66,3.19,0.938104,0.860283,0.951775
27,0.933675,0.936479,0.90532,0.930504,0.949395,0.830106,0.835319,0.221188,0.904192,0.940874,0.95729,38.239524,31.517904,41.21975,0.993754,0.982363,79.509537,36.99239266666667,14.96,9.75,45.84,4.91,0.933182,0.807695,0.944337
28,0.833567,0.910978,0.830713,0.822463,0.807039,0.830106,0.830106,0.164603,0.773236,0.807745,0.820054,33.317771,23.489685,34.166554,0.975684,0.96583,45.75205,30.324669999999998,72.87,30.29,291.15,24.91,0.921334,0.776826,0.918092
29,0.833923,0.913027,0.832864,0.823114,0.805473,0.832624,0.835009,0.165286,0.773539,0.807849,0.820042,33.401024,23.407804,34.236145,0.975732,0.965914,45.816107,30.348324333333334,73.34,29.72,296.69,24.52,0.921699,0.777809,0.917994
30,0.835443,0.913778,0.833813,0.826443,0.806306,0.832624,0.832624,0.163793,0.774351,0.80864,0.82053,33.346661,23.402587,34.134588,0.975328,0.964096,46.166195,30.294612,73.75,30.09,297.04,25.1,0.915438,0.763503,0.906183
31,0.835222,0.912255,0.831545,0.828401,0.806142,0.836263,0.836263,0.167301,0.774126,0.808323,0.820317,33.399604,23.37758,34.176575,0.975749,0.966002,46.078009,30.317919666666665,73.75,29.72,298.76,24.86,0.921901,0.777885,0.918132
