Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,float_ms_ssim,vmaf,psnr_avg,mse_avg,mse_y,mse_u,mse_v,ssim_y,ssim_u,ssim_v
0,0.994473,0.990486,0.990265,0.994843,0.997792,0.0,0.0,0.910831,0.996256,0.998191,0.999001,49.913845,51.020528,50.581512,0.998604,0.998533,96.014533,50.505295,0.62,0.66,0.51,0.57,0.994064,0.99622,0.996403
1,0.990296,0.983047,0.983291,0.990771,0.996135,1.506822,1.506822,0.861881,0.991999,0.99588,0.997328,47.898053,50.882195,50.545923,0.9983,0.99814,96.872692,49.77539033333333,0.89,1.06,0.53,0.57,0.992138,0.996146,0.996273
2,0.991094,0.983242,0.983628,0.992036,0.997095,1.232771,1.546849,0.861095,0.993215,0.996829,0.998073,47.970769,50.944162,50.492884,0.998303,0.998121,96.789478,49.802605,0.88,1.04,0.52,0.58,0.992002,0.996163,0.996242
3,0.888164,0.923016,0.819981,0.856377,0.926392,1.232771,1.232771,0.442402,0.760919,0.84426,0.893483,35.00836,50.899561,50.378517,0.972392,0.973143,61.633052,45.428812666666666,13.87,20.52,0.53,0.6,0.926828,0.996033,0.996008
4,0.901839,0.929839,0.847697,0.8786,0.930058,1.221246,1.278066,0.461944,0.776913,0.857016,0.903864,35.573459,50.807416,50.405909,0.974781,0.975889,65.432111,45.59559466666667,12.2,18.02,0.54,0.59,0.935645,0.996166,0.996014
5,0.899161,0.929122,0.844524,0.86717,0.932633,1.221246,1.221246,0.464293,0.778011,0.855879,0.902744,35.482846,50.784283,50.369799,0.975145,0.976595,64.749281,45.54564266666667,12.45,18.4,0.54,0.6,0.937174,0.996199,0.995971
6,0.867496,0.916127,0.801558,0.845351,0.891858,1.227095,1.227095,0.397178,0.705995,0.800013,0.864423,34.05443,50.788195,50.326122,0.96326,0.966244,54.610954,45.056249,17.23,25.56,0.54,0.6,0.91393,0.996086,0.995938
7,0.81872,0.909507,0.750423,0.768859,0.845813,1.548288,1.548288,0.340673,0.618795,0.722785,0.801702,32.254533,50.77712,50.346786,0.943014,0.950039,40.687952,44.459479666666674,25.98,38.69,0.54,0.6,0.886957,0.995928,0.995853
8,0.697705,0.90007,0.649774,0.575263,0.719305,2.034276,2.034276,0.245578,0.411582,0.510033,0.604306,28.81715,50.306898,50.294071,0.853861,0.883246,12.978267,43.139373,57.11,85.38,0.61,0.61,0.800456,0.995512,0.995637
9,0.730956,0.907223,0.669536,0.62609,0.756159,1.98378,2.079439,0.261404,0.451908,0.557366,0.654421,29.484108,50.358942,50.313531,0.877594,0.900848,19.208813,43.385527,49.01,73.23,0.6,0.61,0.817215,0.995475,0.99567
10,0.798827,0.916631,0.733258,0.724123,0.829699,1.584153,1.98378,0.302511,0.54356,0.655567,0.745553,31.046242,50.538557,50.264539,0.915307,0.928973,33.847005,43.94977933333333,34.26,51.1,0.57,0.61,0.850334,0.995524,0.995662
11,0.814507,0.910828,0.734518,0.751152,0.853594,1.319661,1.584153,0.31788,0.584018,0.695018,0.776851,31.564664,50.557537,50.325418,0.928189,0.938258,38.209052,44.14920633333333,30.42,45.35,0.57,0.6,0.861809,0.995833,0.995729
12,0.80574,0.908731,0.735803,0.752518,0.830089,1.166964,1.319661,0.315874,0.579723,0.691253,0.776216,31.457087,50.596778,50.341074,0.926929,0.937135,36.437344,44.13164633333333,31.18,46.49,0.57,0.6,0.859586,0.995824,0.995734
13,0.760427,0.907958,0.710576,0.683905,0.773505,1.166964,1.166964,0.280773,0.49998,0.610296,0.699293,30.060748,50.60759,50.246421,0.894907,0.91225,24.713653,43.638253,42.93,64.12,0.57,0.61,0.830698,0.995597,0.995578
14,0.757438,0.907275,0.712389,0.675675,0.7714,1.122824,1.330291,0.278485,0.497518,0.606412,0.692818,29.991516,50.443737,50.274149,0.893805,0.911192,23.870805,43.56980066666667,43.62,65.15,0.59,0.61,0.829786,0.995483,0.995658
15,0.762477,0.90927,0.704749,0.667629,0.792697,1.079864,1.122824,0.277846,0.49439,0.60268,0.690371,29.947434,50.446871,50.289417,0.891629,0.909021,24.570038,43.56124066666666,44.07,65.82,0.59,0.61,0.827616,0.995459,0.995654
16,0.759418,0.908629,0.706539,0.664022,0.786623,1.079864,1.079864,0.272025,0.481319,0.588045,0.676059,29.715878,50.415447,50.274873,0.885154,0.903751,23.522478,43.468732666666675,46.47,69.42,0.59,0.61,0.822804,0.995379,0.99563
17,0.751285,0.898251,0.68525,0.684299,0.76554,1.164362,1.308688,0.272897,0.495408,0.60327,0.690143,29.767721,50.468604,50.255673,0.891354,0.907793,22.812842,43.497332666666665,45.92,68.6,0.58,0.61,0.827001,0.99527,0.995592
18,0.662389,0.893951,0.65307,0.549108,0.647364,1.164362,1.164362,0.231004,0.390859,0.483673,0.568895,28.19247,50.109233,50.241845,0.838595,0.867356,6.620909,42.84784933333333,65.92,98.59,0.63,0.62,0.788189,0.994869,0.995516
19,0.642282,0.879824,0.631109,0.51429,0.636053,1.208529,1.237511,0.212199,0.357967,0.445818,0.530499,27.444415,50.004991,50.139156,0.815582,0.84918,4.034222,42.52952066666666,78.28,117.12,0.65,0.63,0.768774,0.994591,0.995399
20,0.65545,0.892525,0.644631,0.510637,0.661514,1.208529,1.208529,0.217532,0.367463,0.457975,0.543271,27.64455,50.125974,50.124602,0.822428,0.855243,5.777208,42.63170866666667,74.76,111.85,0.63,0.63,0.773037,0.994629,0.995376
21,0.648678,0.887316,0.624812,0.503119,0.660141,1.296188,1.296188,0.213619,0.362407,0.453688,0.541133,27.505619,49.923059,50.236499,0.819184,0.852841,5.089123,42.555059,77.18,115.48,0.66,0.62,0.770299,0.994537,0.995474
22,0.677169,0.904171,0.656405,0.552664,0.675831,1.548361,1.548361,0.232722,0.393677,0.490188,0.57934,28.143176,50.09061,50.224766,0.840206,0.869703,9.27439,42.81951733333333,66.67,99.72,0.64,0.62,0.786446,0.994771,0.995441
23,0.714244,0.90011,0.677511,0.621439,0.714855,1.005768,1.710361,0.242115,0.417094,0.515738,0.605185,28.449397,50.135394,50.085086,0.85166,0.878258,14.536596,42.889959,62.15,92.93,0.63,0.64,0.794841,0.994701,0.99524
24,0.716827,0.895581,0.685613,0.616709,0.72272,1.005768,1.005768,0.249306,0.432993,0.534262,0.623984,28.712105,50.086751,50.127151,0.859339,0.884355,15.287989,42.975335666666666,58.51,87.47,0.64,0.63,0.800986,0.99494,0.995378
25,0.732721,0.902591,0.689069,0.63339,0.747815,1.086198,1.178991,0.263118,0.46114,0.566116,0.655213,29.136923,50.191604,50.151054,0.87394,0.89447,18.575121,43.159860333333334,53.08,79.32,0.62,0.63,0.814178,0.995088,0.995371
26,0.739103,0.899123,0.698242,0.636902,0.759577,0.849278,1.086198,0.264613,0.466449,0.572556,0.662199,29.242163,50.182119,50.108842,0.876035,0.896283,19.622182,43.177708,51.81,77.42,0.62,0.63,0.815908,0.9953,0.995368
27,0.737477,0.899299,0.696072,0.631491,0.760812,0.843126,0.849278,0.26202,0.463958,0.570864,0.661217,29.200171,50.320642,50.025328,0.874592,0.895909,19.3828,43.182047000000004,52.31,78.17,0.6,0.65,0.813384,0.995196,0.995203
28,0.69685,0.895216,0.701527,0.579394,0.690288,0.79528,0.843126,0.237869,0.402691,0.495306,0.581761,28.176083,50.040541,49.999847,0.842138,0.870136,11.269541,42.73882366666667,66.17,98.96,0.64,0.65,0.790691,0.995087,0.995079
29,0.692574,0.888884,0.691971,0.588305,0.679996,0.79528,0.79528,0.235656,0.397436,0.488071,0.574276,28.047973,50.063115,50.021554,0.839087,0.867439,10.539087,42.71088066666667,68.15,101.93,0.64,0.65,0.788187,0.995222,0.995197
30,0.692472,0.894804,0.696603,0.589982,0.673771,0.809702,0.809702,0.234565,0.386494,0.471341,0.55591,27.879276,50.109707,49.957591,0.829785,0.859899,10.206909,42.648858,70.84,105.96,0.63,0.66,0.78359,0.994849,0.995045
31,0.682676,0.892318,0.700823,0.585389,0.650195,0.85674,0.988786,0.234424,0.380658,0.4604,0.542111,27.766014,49.882651,50.020488,0.824541,0.855752,8.574753,42.556384333333334,72.71,108.76,0.67,0.65,0.782554,0.99509,0.99515
32,0.659893,0.882231,0.672905,0.570139,0.618648,0.85674,0.85674,0.226067,0.365172,0.439749,0.518387,27.390562,49.878708,49.947689,0.813124,0.845775,5.344122,42.405653,79.26,118.58,0.67,0.66,0.773788,0.994815,0.99503
33,0.622269,0.889293,0.647582,0.555905,0.542506,0.946536,0.946536,0.215572,0.338904,0.40162,0.468421,26.714063,49.865923,49.932101,0.787505,0.821994,0.461426,42.17069566666667,92.58,138.57,0.67,0.66,0.761718,0.994491,0.99496
34,0.608884,0.877545,0.644284,0.528615,0.532565,1.001746,1.090219,0.208345,0.328387,0.388106,0.45196,26.412443,49.616008,49.93907,0.778196,0.813312,0.0,41.989173666666666,99.23,148.54,0.71,0.66,0.754813,0.99466,0.995031
35,0.604469,0.880358,0.636555,0.50376,0.541105,1.001746,1.001746,0.208409,0.325485,0.383721,0.445776,26.362012,49.669626,49.917076,0.77415,0.80875,0.0,41.98290466666666,100.38,150.27,0.7,0.66,0.753122,0.994622,0.995009
36,0.608053,0.879579,0.638429,0.508331,0.546317,1.227033,1.227033,0.209378,0.325531,0.38387,0.446171,26.440263,49.663781,49.971946,0.772351,0.806967,0.0,42.025330000000004,98.59,147.59,0.7,0.65,0.753887,0.994731,0.995006
37,0.598709,0.883538,0.629602,0.491762,0.536327,1.289054,1.289054,0.206318,0.318311,0.374993,0.437111,26.268992,49.745872,49.860625,0.765855,0.801136,0.0,41.958496333333336,102.55,153.53,0.69,0.67,0.749477,0.994517,0.994787
38,0.579063,0.872242,0.613822,0.467439,0.514062,1.095191,1.410129,0.199082,0.304089,0.352672,0.402524,25.778774,49.537561,49.841541,0.74733,0.782917,0.0,41.719291999999996,114.79,171.87,0.72,0.67,0.739517,0.994586,0.994803
39,0.583224,0.875572,0.620482,0.454246,0.530584,1.095191,1.095191,0.198527,0.302423,0.349459,0.397875,25.747332,49.473883,49.883843,0.744234,0.77957,0.0,41.701686,115.62,173.12,0.73,0.67,0.738747,0.994595,0.994877
40,0.571865,0.88071,0.612135,0.433262,0.517174,1.291222,1.291222,0.196709,0.297013,0.342672,0.389171,25.598394,49.559503,49.789917,0.738843,0.774821,0.0,41.64927133333333,119.64,179.16,0.72,0.68,0.737075,0.994307,0.994739
41,0.579888,0.876786,0.61101,0.454608,0.524646,1.292202,1.414085,0.196319,0.297451,0.343587,0.391157,25.665401,49.453111,49.86835,0.738941,0.775273,0.0,41.66228733333333,117.82,176.42,0.74,0.67,0.736984,0.994576,0.994879
42,0.57545,0.876775,0.612538,0.450087,0.515327,1.292202,1.292202,0.194377,0.293576,0.338383,0.383552,25.577563,49.461274,49.832397,0.73496,0.771627,0.0,41.62374466666667,120.22,180.02,0.74,0.68,0.735112,0.994486,0.994763
43,0.570138,0.883788,0.617357,0.448291,0.498745,1.37188,1.395096,0.192254,0.287771,0.329224,0.369902,25.280764,49.487231,49.732756,0.725899,0.761675,0.0,41.500250333333334,128.71,192.75,0.73,0.69,0.731256,0.994299,0.994663
44,0.575721,0.876004,0.612891,0.468253,0.503942,1.37188,1.37188,0.191004,0.288577,0.331134,0.3731,25.36262,49.394152,49.792717,0.72799,0.76467,0.0,41.51649633333333,126.31,189.16,0.75,0.68,0.731173,0.994583,0.99472
45,0.56874,0.883921,0.629593,0.4506,0.487546,1.483088,1.491734,0.194094,0.290613,0.333173,0.375788,25.460456,49.448054,49.791291,0.730253,0.767697,0.0,41.566600333333334,123.5,184.94,0.74,0.68,0.734161,0.994431,0.994685
46,0.555733,0.878962,0.622493,0.446438,0.462202,1.414571,1.483088,0.191159,0.288864,0.332795,0.377664,25.435784,49.398887,49.797803,0.730054,0.768522,0.0,41.544158,124.2,186.0,0.75,0.68,0.731542,0.994493,0.994715
47,0.542796,0.883307,0.608405,0.442594,0.437007,1.414571,1.414571,0.190353,0.285895,0.330196,0.377714,25.43668,49.470294,49.682376,0.728839,0.768668,0.0,41.529783333333334,124.18,185.96,0.73,0.7,0.731425,0.994218,0.99449
48,0.541441,0.8762,0.613366,0.415218,0.451692,1.191404,1.614706,0.18601,0.277321,0.318192,0.359936,25.100426,49.359908,49.669778,0.717956,0.755806,0.0,41.376704,134.16,200.93,0.75,0.7,0.726025,0.99403,0.994419
49,0.537331,0.883798,0.619186,0.406294,0.442351,1.191404,1.191404,0.184522,0.273376,0.312753,0.353548,24.973613,49.296613,49.783805,0.712138,0.750389,0.0,41.35134366666667,138.13,206.88,0.76,0.68,0.723525,0.99433,0.994611
50,0.535063,0.887016,0.610632,0.399905,0.442563,1.38818,1.611528,0.186221,0.272306,0.311307,0.352583,24.955856,49.421781,49.657592,0.710033,0.749444,0.0,41.34507633333334,138.69,207.73,0.74,0.7,0.723434,0.993998,0.9943
51,0.527535,0.872954,0.603272,0.403508,0.426968,1.113301,1.38818,0.178955,0.266918,0.305502,0.346061,24.777165,49.285822,49.777287,0.703554,0.742906,0.0,41.28009133333334,144.51,216.45,0.77,0.68,0.715368,0.994248,0.994543
52,0.521111,0.872813,0.609889,0.412665,0.401018,1.113301,1.113301,0.178021,0.263691,0.300324,0.338001,24.621402,49.278974,49.735827,0.69746,0.736253,0.0,41.21206766666666,149.78,224.36,0.77,0.69,0.712469,0.994129,0.994433
53,0.525094,0.876257,0.612952,0.41168,0.40933,1.164622,1.164622,0.178434,0.260374,0.294053,0.326249,24.382296,49.293121,49.618051,0.690117,0.725845,0.0,41.097822666666666,158.24,237.06,0.77,0.71,0.709485,0.993839,0.994252
54,0.538589,0.878887,0.614345,0.408714,0.445116,1.288043,1.475826,0.179814,0.264959,0.301831,0.339306,24.708354,49.312699,49.769361,0.698968,0.737395,0.0,41.263471333333335,146.81,219.91,0.76,0.69,0.714358,0.994065,0.994506
