Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,float_ms_ssim,vmaf,psnr_avg,mse_avg,mse_y,mse_u,mse_v,ssim_y,ssim_u,ssim_v
0,0.994903,0.995496,0.993244,0.993517,0.996412,0.0,0.0,0.888717,0.981145,0.990635,0.994137,49.53202,46.652839,47.651125,0.998575,0.997154,95.305661,47.945327999999996,0.9,0.72,1.41,1.12,0.992262,0.97908,0.98309
1,0.991444,0.990426,0.986946,0.990077,0.994866,1.09058,1.172874,0.870679,0.976574,0.989034,0.994074,48.946569,45.938388,47.246522,0.998283,0.996512,95.927666,47.37715966666667,1.03,0.83,1.66,1.23,0.990935,0.975551,0.98147
2,0.991958,0.991486,0.988695,0.990621,0.994603,1.043882,1.09058,0.87737,0.979535,0.990221,0.994364,49.451631,46.693353,47.862734,0.998774,0.997132,96.067861,48.00257266666667,0.9,0.74,1.39,1.06,0.991775,0.979198,0.983691
3,0.962786,0.979193,0.952902,0.953541,0.967083,1.043882,1.043882,0.776175,0.905296,0.932094,0.94711,38.744085,42.850646,44.962659,0.987123,0.985106,83.319715,42.18579666666667,6.7,8.68,3.38,2.08,0.978151,0.954915,0.971563
4,0.96471,0.980802,0.959907,0.955353,0.966863,1.059602,1.061234,0.778692,0.905057,0.931179,0.946002,38.373258,43.317333,45.238389,0.9867,0.985004,83.627393,42.30966,7.14,9.46,3.04,1.95,0.978724,0.959774,0.974474
5,0.959957,0.97515,0.952257,0.95122,0.963368,1.059602,1.059602,0.763383,0.896287,0.925882,0.942054,38.074243,42.911764,44.894122,0.986558,0.98462,82.082887,41.960043000000006,7.66,10.13,3.33,2.11,0.977524,0.956578,0.97224
6,0.962212,0.977781,0.951062,0.953172,0.967269,1.052762,1.125718,0.783498,0.909538,0.934326,0.947542,38.222685,43.472817,45.388967,0.987047,0.985186,83.337325,42.36148966666667,7.33,9.79,2.93,1.88,0.978667,0.960605,0.974513
7,0.970255,0.982342,0.967588,0.966998,0.968674,1.037703,1.052762,0.787214,0.914983,0.93908,0.951619,38.149937,44.214444,45.847029,0.987891,0.98614,85.568587,42.737136666666665,7.33,9.96,2.47,1.7,0.979528,0.965717,0.976725
8,0.954604,0.973842,0.943572,0.941091,0.961395,1.017149,1.037703,0.759495,0.889064,0.91544,0.929903,35.386902,42.813718,44.472586,0.980325,0.979059,79.523017,40.89106866666666,13.49,18.81,3.41,2.32,0.973498,0.955912,0.970483
9,0.961733,0.978209,0.960782,0.948273,0.964917,1.017149,1.017149,0.761058,0.891311,0.918126,0.932274,35.364426,43.061207,44.787471,0.980147,0.978759,81.335942,41.07103466666667,13.5,18.91,3.22,2.16,0.973658,0.958282,0.972557
10,0.965012,0.981367,0.958495,0.955798,0.967753,1.079689,1.121765,0.773015,0.899465,0.923643,0.936117,35.209048,42.659688,44.358364,0.979384,0.978044,82.640321,40.74236666666667,14.05,19.6,3.53,2.39,0.97314,0.954365,0.969727
11,0.960656,0.978518,0.950589,0.948858,0.966375,1.079689,1.079689,0.755832,0.890345,0.918225,0.933166,35.333009,43.093594,44.816506,0.979971,0.978356,81.261002,41.08103633333334,13.59,19.04,3.19,2.15,0.973442,0.958592,0.972881
12,0.960246,0.976151,0.945215,0.94966,0.968237,1.026496,1.088882,0.759759,0.8933,0.920132,0.933952,35.341464,42.836747,44.545091,0.979586,0.97805,81.243011,40.90776733333333,13.62,19.01,3.39,2.28,0.973269,0.955877,0.971011
13,0.962778,0.979647,0.954906,0.94647,0.971253,1.026496,1.026496,0.766452,0.891151,0.914587,0.927173,34.353979,43.370091,44.714377,0.976666,0.975054,81.033873,40.81281566666667,16.77,23.86,3.0,2.2,0.971878,0.961546,0.973335
14,0.954811,0.977791,0.951664,0.944801,0.953664,1.010919,1.03988,0.756986,0.885171,0.909936,0.922885,34.344189,42.909982,44.477379,0.975951,0.974482,78.80184,40.57718333333333,16.88,23.91,3.33,2.32,0.971155,0.957696,0.971913
