Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,float_ms_ssim,vmaf,psnr_avg,mse_avg,mse_y,mse_u,mse_v,ssim_y,ssim_u,ssim_v
0,0.994432,0.9954280000000001,0.9919899999999999,0.992008,0.996444,0.0,0.0,0.9450860000000001,0.993099,0.995676,0.9967600000000001,53.350882999999996,52.464261,53.205304000000005,0.999712,0.998951,95.703647,53.00681600000001,0.31,0.3,0.37,0.31,0.996155,0.995472,0.995709
1,0.994705,0.9958229999999999,0.9925889999999999,0.9924620000000001,0.9964129999999999,0.691775,0.691775,0.945198,0.992763,0.9954049999999999,0.9965870000000001,53.331095999999995,52.544368999999996,53.1565,0.999685,0.9989389999999999,96.68485,53.01065499999999,0.31,0.3,0.36,0.31,0.996195,0.995435,0.995569
2,0.995078,0.995966,0.993351,0.9923040000000001,0.996991,1.081165,1.081165,0.944306,0.992914,0.995641,0.9969370000000001,53.22440600000001,52.517669,53.058471999999995,0.9996729999999999,0.998908,97.336414,52.933515666666665,0.32,0.31,0.36,0.32,0.99611,0.995365,0.995498
3,0.9470940000000001,0.980034,0.933968,0.9227879999999999,0.9486399999999999,0.9991639999999999,2.0557119999999998,0.870818,0.935575,0.947867,0.9544809999999999,40.572596000000004,48.160184,46.010583000000004,0.9943059999999999,0.993908,81.16832600000001,44.91445433333334,4.24,5.7,0.99,1.63,0.991635,0.994091,0.993736
4,0.9605229999999999,0.9823719999999999,0.9512950000000001,0.9389700000000001,0.965392,0.48485500000000004,0.9991639999999999,0.891548,0.9527959999999999,0.9635319999999999,0.970166,46.765644,52.007931,52.423714000000004,0.9980459999999999,0.997074,85.316675,50.39909633333334,1.04,1.37,0.41,0.37,0.993968,0.995116,0.995172
5,0.8653360000000001,0.9672719999999999,0.8500549999999999,0.7744810000000001,0.8684790000000001,0.48485500000000004,0.48485500000000004,0.746292,0.814225,0.8373790000000001,0.855928,38.765029999999996,49.223834000000004,48.800106,0.985728,0.9827450000000001,52.095329,45.59632333333334,6.03,8.64,0.78,0.86,0.978517,0.992551,0.992453
6,0.931797,0.975484,0.9117280000000001,0.8959940000000001,0.937026,1.010489,1.289234,0.8384159999999999,0.9051530000000001,0.9214549999999999,0.9324479999999999,38.833759,47.871829999999996,44.996672,0.99182,0.991343,75.08000600000001,43.90075366666667,6.19,8.51,1.06,2.06,0.989598,0.994126,0.993572
7,0.976118,0.991656,0.974224,0.9697790000000001,0.9717610000000001,1.010489,1.010489,0.8830370000000001,0.940305,0.9472200000000001,0.948859,34.542159999999996,40.701314,39.152138,0.9831,0.9855700000000001,86.98310500000001,38.131870666666664,17.47,22.85,5.53,7.9,0.990986,0.991929,0.991012
8,0.856326,0.9647040000000001,0.844505,0.7721060000000001,0.848463,0.5810109999999999,1.157301,0.736135,0.801723,0.8242809999999999,0.8416959999999999,37.814249,48.758524,48.959075,0.9819040000000001,0.9796020000000001,49.047275,45.17728266666666,7.45,10.76,0.87,0.83,0.977006,0.992423,0.992478
9,0.875131,0.9656040000000001,0.859899,0.8128340000000001,0.8662629999999999,0.5810109999999999,0.5810109999999999,0.771269,0.8384299999999999,0.8598620000000001,0.8757520000000001,38.080648,47.541776,47.351776,0.985907,0.984052,56.271774,44.324733333333334,7.13,10.12,1.15,1.2,0.981654,0.992897,0.992688
10,0.971425,0.987159,0.969277,0.9550639999999999,0.973175,0.43555,1.004364,0.896596,0.953784,0.959765,0.959875,32.14993,39.298776000000004,37.512777,0.9755450000000001,0.979556,86.64010400000001,36.320494333333336,29.62,39.64,7.64,11.53,0.989265,0.991293,0.989604
11,0.8832629999999999,0.9673959999999999,0.868361,0.806361,0.888114,0.43555,0.43555,0.795545,0.8604350000000001,0.877914,0.887431,32.709932,40.277004999999996,38.291028999999995,0.971984,0.9748040000000001,59.183723,37.09265533333333,25.85,34.84,6.1,9.64,0.981356,0.990835,0.989674
12,0.876606,0.9665870000000001,0.8507049999999999,0.797528,0.884224,0.771893,1.415259,0.776817,0.844673,0.8661260000000001,0.882539,39.239599,49.668842,49.252266999999996,0.9883040000000001,0.986001,57.499174,46.053569333333336,5.41,7.75,0.7,0.77,0.982264,0.993309,0.993295
13,0.947886,0.9828870000000001,0.9424309999999999,0.928215,0.941911,0.582279,0.771893,0.857408,0.9175709999999999,0.9273629999999999,0.931052,32.538364,39.536868,38.421669,0.978435,0.981342,78.097749,36.832300333333336,26.93,36.24,7.23,9.35,0.988894,0.991606,0.990405
14,0.8490979999999999,0.9632229999999999,0.8424450000000001,0.766389,0.835209,0.46982399999999996,0.582279,0.704972,0.767713,0.788701,0.80353,30.976031,38.630907,37.055456,0.9581379999999999,0.960528,44.050951,35.55413133333334,38.25,51.94,8.91,12.81,0.970591,0.988545,0.986949
15,0.852872,0.9654520000000001,0.8451620000000001,0.783302,0.8327319999999999,0.46982399999999996,0.46982399999999996,0.726193,0.789992,0.810114,0.823667,31.55785,38.911372,37.532585,0.963508,0.9656950000000001,46.618054,36.00060233333333,33.59,45.43,8.35,11.48,0.974447,0.989019,0.987707
16,0.971816,0.987874,0.9596309999999999,0.9583299999999999,0.97624,0.721949,1.570096,0.908925,0.96244,0.967245,0.967412,34.324616,41.352944,40.850703,0.984866,0.986985,88.055361,38.84275433333334,17.7,24.02,4.76,5.35,0.991778,0.99289,0.99236
