Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,float_ms_ssim,vmaf,psnr_avg,mse_avg,mse_y,mse_u,mse_v,ssim_y,ssim_u,ssim_v
0,0.960503,0.966099,0.931263,0.952696,0.978703,0.0,0.0,0.75365,0.928219,0.958535,0.975424,41.349394,48.752364,49.245679,0.992834,0.993941,84.860684,46.44914566666666,0.44,0.41,0.53,0.46,0.994326,0.992282,0.993339
1,0.958107,0.965633,0.931082,0.946234,0.97725,0.857616,0.919167,0.715631,0.919651,0.95476,0.973026,40.889462,45.568982,46.887395,0.990746,0.992149,85.123305,44.448613,0.54,0.49,0.7,0.59,0.993503,0.989952,0.991506
2,0.957668,0.96537,0.92679,0.94856,0.976661,0.828965,0.857616,0.711407,0.918362,0.953906,0.972617,40.816927,45.651965,46.899643,0.990667,0.991988,84.926039,44.456178333333334,0.54,0.49,0.7,0.59,0.993487,0.990006,0.991576
3,0.9478,0.960464,0.913945,0.937575,0.967065,0.828965,0.828965,0.676349,0.886167,0.924992,0.947593,37.366027,44.078944,45.814766,0.981236,0.984809,79.667437,42.419912333333336,7.46,9.33,4.53,2.91,0.982769,0.959487,0.97332
4,0.941348,0.959193,0.906618,0.929496,0.960036,0.841921,0.85738,0.669446,0.876262,0.916391,0.941257,36.855597,44.871501,46.200122,0.98018,0.983786,77.486224,42.642406666666666,8.09,10.25,4.53,3.0,0.982564,0.95997,0.97337
5,0.956301,0.967317,0.934468,0.944691,0.971146,0.841921,0.841921,0.692305,0.891936,0.92591,0.945641,37.192831,44.420396,45.995257,0.982253,0.985439,81.362901,42.53616133333333,8.49,10.82,4.61,3.02,0.982149,0.959897,0.973132
6,0.944299,0.955158,0.909945,0.933547,0.964916,0.838523,0.909575,0.664655,0.876314,0.917161,0.941272,36.714238,44.502397,45.999169,0.980195,0.983982,78.14661,42.405268,8.28,10.6,4.36,2.92,0.982755,0.960859,0.973478
7,0.952236,0.964423,0.927589,0.939083,0.969174,0.821945,0.838523,0.683303,0.891136,0.927448,0.950509,36.865671,44.162099,45.747622,0.981332,0.98483,80.921698,42.258464000000004,8.49,10.88,4.48,2.96,0.982418,0.96004,0.973142
8,0.946329,0.960695,0.920631,0.937467,0.959778,0.808225,0.821945,0.687748,0.878147,0.910398,0.929134,34.926749,44.630794,45.822472,0.976668,0.98095,77.304535,41.79333833333334,14.26,19.51,4.44,3.08,0.980719,0.961594,0.973571
9,0.951479,0.965978,0.927774,0.942853,0.963618,0.808225,0.808225,0.688489,0.881453,0.913885,0.93242,34.923039,44.155192,45.529727,0.97609,0.980011,78.787769,41.535986,14.38,19.67,4.5,3.08,0.980503,0.960989,0.973462
10,0.946866,0.960182,0.920433,0.934574,0.963614,0.869144,0.923248,0.666395,0.870387,0.90727,0.927731,34.581498,43.941038,45.288947,0.973822,0.977961,77.294264,41.27049433333334,14.8,20.24,4.6,3.2,0.980676,0.959911,0.972505
