Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,float_ms_ssim,vmaf,psnr_avg,mse_avg,mse_y,mse_u,mse_v,ssim_y,ssim_u,ssim_v
0,0.988613,0.978199,0.97627,0.98967,0.99716,0.0,0.0,0.681275,0.992222,0.996615,0.998035,46.402344,45.269778,46.245588,0.999584,0.99639,94.698617,45.97257,1.57,1.49,1.93,1.54,0.980193,0.973493,0.977996
1,0.981884,0.963753,0.965478,0.983723,0.994801,0.928062,0.928062,0.49866,0.985534,0.993889,0.996476,43.078982,42.106492,43.519385,0.998739,0.990551,94.432149,42.90161966666667,3.28,3.2,4.0,2.89,0.956302,0.94382,0.957718
2,0.983447,0.965383,0.967434,0.986003,0.995783,1.166325,1.166325,0.517528,0.986536,0.994179,0.996574,43.467828,42.536529,43.863915,0.998918,0.991656,95.051411,43.289424,3.0,2.93,3.63,2.67,0.960174,0.949168,0.96098
3,0.962359,0.957826,0.941235,0.954669,0.97683,0.904395,1.465708,0.425093,0.955552,0.973574,0.980617,39.782187,39.539037,41.421297,0.99552,0.977146,88.133004,40.247507000000006,6.54,6.84,7.23,4.69,0.919283,0.903195,0.93413
4,0.9075,0.945808,0.877435,0.871342,0.923634,0.904395,0.904395,0.34791,0.877302,0.911492,0.92729,38.405198,40.213662,42.095529,0.993817,0.975615,70.151753,40.238129666666666,7.96,9.39,6.19,4.01,0.921685,0.915574,0.942942
5,0.91376,0.947008,0.885937,0.879777,0.92975,1.188766,1.227642,0.359755,0.886669,0.91922,0.934315,38.755745,40.170217,42.066069,0.994286,0.976589,72.541156,40.330677,7.49,8.66,6.25,4.04,0.923661,0.914351,0.942326
6,0.972033,0.959738,0.953084,0.969089,0.986234,0.837267,1.188766,0.443206,0.971295,0.984606,0.989334,41.047416,40.521866,42.34665,0.996447,0.981702,91.293531,41.305310666666664,5.0,5.11,5.77,3.79,0.93435,0.920163,0.945463
7,0.97657,0.962034,0.957322,0.974931,0.991103,0.79244,0.837267,0.447048,0.97904,0.990312,0.993939,40.240842,39.46534,41.349981,0.996046,0.978141,92.849777,40.352054333333335,6.12,6.15,7.35,4.77,0.920867,0.901703,0.932883
8,0.962037,0.956595,0.939014,0.954865,0.977307,0.79244,0.79244,0.425848,0.956327,0.974394,0.981336,40.717838,40.565747,42.359042,0.996179,0.981045,88.023759,41.214209000000004,5.26,5.51,5.71,3.78,0.933082,0.921114,0.945814
9,0.951809,0.953489,0.925622,0.938961,0.968565,0.783273,0.905849,0.405355,0.93803,0.959837,0.969081,40.163006,40.348819,42.229546,0.995781,0.980116,84.267088,40.91379033333333,5.82,6.26,6.0,3.89,0.930913,0.917299,0.944428
10,0.911602,0.94358,0.876073,0.879381,0.930239,0.783273,0.783273,0.345973,0.87865,0.910945,0.926554,37.875321,39.511504,41.423488,0.993568,0.973714,70.788504,39.60343766666667,9.06,10.61,7.28,4.69,0.913341,0.902617,0.934495
11,0.949888,0.952778,0.921998,0.935308,0.967764,0.965451,0.965451,0.400263,0.933168,0.956474,0.966493,40.081747,40.33214,42.25379,0.995773,0.980004,83.736463,40.88922566666667,5.9,6.38,6.02,3.87,0.930441,0.916872,0.944566
12,0.980508,0.962397,0.963459,0.982277,0.993759,0.784049,0.968864,0.457014,0.983025,0.992448,0.995322,41.260281,40.589006,42.393516,0.996577,0.981932,93.881551,41.41426766666667,4.81,4.86,5.68,3.75,0.934841,0.921597,0.946087
13,0.979004,0.96248,0.961257,0.979589,0.992529,0.774723,0.784049,0.44926,0.981192,0.991623,0.994909,40.589866,39.771473,41.726735,0.996212,0.97931,93.48881,40.696024666666666,5.65,5.68,6.85,4.37,0.925597,0.907212,0.93792
14,0.979441,0.961792,0.962068,0.980694,0.992924,0.774723,0.774723,0.452493,0.982176,0.99209,0.995079,41.206093,40.448881,42.339374,0.996626,0.981818,93.613014,41.33144933333333,4.89,4.93,5.86,3.79,0.934146,0.918869,0.945333
15,0.979505,0.961913,0.96227,0.98091,0.99282,0.776637,0.776637,0.451947,0.982073,0.991984,0.995,41.171136,40.354174,42.264106,0.996535,0.981568,93.618878,41.26313866666666,4.95,4.97,5.99,3.86,0.933674,0.917666,0.944584
16,0.979713,0.9622,0.962753,0.981062,0.992918,0.77962,0.781339,0.454262,0.982673,0.992191,0.99506,41.176985,40.444184,42.293821,0.996581,0.981739,93.678116,41.304996666666675,4.92,4.96,5.87,3.83,0.934075,0.919651,0.945549
17,0.979892,0.962427,0.961882,0.981756,0.993193,0.77349,0.77962,0.45083,0.981769,0.991971,0.995216,40.599708,39.758915,41.695134,0.996245,0.979399,93.716642,40.68458566666666,5.66,5.66,6.87,4.4,0.925797,0.906988,0.937521
18,0.976391,0.960673,0.957054,0.976627,0.990394,0.772315,0.77349,0.446325,0.977367,0.988975,0.992656,41.113978,40.443666,42.293904,0.996564,0.981712,92.62038,41.283849333333336,4.97,5.03,5.87,3.83,0.933982,0.918749,0.944795
19,0.944854,0.951485,0.917719,0.927993,0.962193,0.772315,0.772315,0.395894,0.931052,0.955145,0.965425,40.036559,40.32935,42.224309,0.995717,0.979907,82.318872,40.863406,5.95,6.45,6.03,3.9,0.930304,0.916993,0.944133
20,0.936872,0.950333,0.909279,0.915631,0.954004,0.779765,0.779765,0.382989,0.918541,0.944918,0.956616,39.267738,39.725457,41.691727,0.995116,0.97715,79.562657,40.22830733333333,7.02,7.7,6.93,4.4,0.921194,0.907009,0.937684
21,0.937452,0.9494,0.909791,0.916633,0.955023,0.779831,0.779831,0.385584,0.920767,0.94659,0.957942,39.708089,40.284664,42.218016,0.995484,0.979416,79.850061,40.736923,6.3,6.95,6.09,3.9,0.92916,0.916423,0.944144
22,0.943016,0.951177,0.916497,0.924765,0.960282,0.790754,0.790754,0.395072,0.929091,0.953114,0.963515,39.971803,40.372124,42.264102,0.995715,0.980069,81.717667,40.86934300000001,6.0,6.54,5.97,3.86,0.930721,0.91774,0.944664
23,0.975674,0.961532,0.957444,0.974022,0.989653,0.805054,0.938079,0.443986,0.97537,0.987638,0.991688,40.50945,39.763963,41.670537,0.996146,0.979363,92.368413,40.647983333333336,5.74,5.78,6.87,4.43,0.925883,0.907244,0.937403
24,0.979681,0.962081,0.962247,0.981844,0.99264,0.774777,0.805054,0.453395,0.982123,0.991754,0.99472,41.184803,40.446843,42.317596,0.996551,0.981797,93.618426,41.316414,4.91,4.95,5.87,3.81,0.934161,0.919273,0.945424
25,0.979243,0.961854,0.962039,0.980285,0.992665,0.773359,0.774777,0.450617,0.981184,0.991473,0.994638,41.166985,40.349252,42.265379,0.996532,0.981645,93.50671,41.26053866666666,4.96,4.97,6.0,3.86,0.933774,0.917646,0.94456
26,0.97939,0.96183,0.962259,0.98093,0.992575,0.773359,0.773359,0.451412,0.981594,0.99171,0.994914,41.200951,40.411214,42.307512,0.996612,0.981782,93.570721,41.306559,4.91,4.93,5.92,3.82,0.934154,0.918408,0.945069
27,0.978893,0.962361,0.961075,0.979359,0.992519,0.774275,0.774275,0.448874,0.980642,0.991283,0.994654,40.586151,39.779819,41.690574,0.99627,0.979433,93.427698,40.68551466666667,5.66,5.68,6.84,4.41,0.925771,0.90755,0.937507
28,0.978875,0.961765,0.961288,0.979583,0.992529,0.771166,0.778223,0.451993,0.981013,0.991231,0.994449,41.19901,40.46174,42.290613,0.996531,0.98184,93.395302,41.31712100000001,4.9,4.93,5.85,3.84,0.93448,0.919111,0.944876
29,0.978491,0.961683,0.960897,0.979445,0.991875,0.771166,0.771166,0.449869,0.980542,0.991178,0.994541,41.159578,40.347778,42.256301,0.996525,0.981568,93.32129,41.25455233333333,4.96,4.98,6.0,3.87,0.933751,0.917242,0.944353
30,0.977929,0.961951,0.959983,0.977478,0.991903,0.772844,0.773968,0.448543,0.980026,0.99079,0.994286,40.600186,39.821011,41.700639,0.996249,0.979604,93.166431,40.70727866666667,5.64,5.66,6.78,4.4,0.926235,0.908135,0.937615
