Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,float_ms_ssim,vmaf,psnr_avg,mse_avg,mse_y,mse_u,mse_v,ssim_y,ssim_u,ssim_v
0,0.993065,0.990273,0.981434,0.991825,1.000739,0.0,0.0,0.902648,0.994971,0.999027,0.999459,50.854989,54.232038,58.341366,0.999665,0.998495,95.774553,54.476131,0.41,0.53,0.25,0.1,0.994103,0.996227,0.998472
1,0.990452,0.987755,0.979395,0.989558,0.99758,2.092732,2.092732,0.908056,0.991996,0.996391,0.997995,51.756724,54.193167,58.445006,0.999778,0.998937,97.783049,54.79829900000001,0.35,0.43,0.25,0.09,0.995043,0.996222,0.99851
2,0.992076,0.987557,0.980736,0.993081,0.999201,1.847907,2.198431,0.902261,0.993024,0.997228,0.998537,51.581681,54.138988,58.186789,0.999797,0.998899,97.893712,54.63581933333333,0.36,0.45,0.25,0.1,0.994814,0.996182,0.99841
3,0.789804,0.963939,0.812671,0.681366,0.760787,1.847907,1.847907,0.414669,0.566833,0.652139,0.722302,34.261604,52.82774,54.53723,0.969882,0.942585,29.930975,47.208858,16.34,24.37,0.34,0.23,0.908793,0.994867,0.996361
4,0.810104,0.966135,0.825559,0.707393,0.78976,1.851067,1.928695,0.43457,0.591066,0.676405,0.74565,34.727239,53.117878,54.655919,0.97264,0.948432,34.831911,47.500345333333335,14.69,21.9,0.32,0.22,0.916659,0.995235,0.996453
5,0.802936,0.96179,0.81596,0.708345,0.776521,1.851067,1.851067,0.428644,0.595645,0.681769,0.75061,34.599937,53.161549,54.32697,0.973323,0.949315,33.891838,47.36281866666667,15.12,22.55,0.31,0.24,0.917234,0.995248,0.996162
6,0.763909,0.958726,0.790235,0.647237,0.726223,1.852122,1.852122,0.3959,0.529815,0.607999,0.677473,33.540068,52.952847,54.505646,0.959944,0.934463,23.225872,46.99952033333333,19.28,28.78,0.33,0.23,0.905299,0.995191,0.996363
7,0.721859,0.964253,0.791499,0.589466,0.645139,2.190269,2.190269,0.387308,0.492522,0.554046,0.612017,32.013358,52.679679,54.372721,0.938921,0.915578,13.923542,46.35525266666667,27.37,40.9,0.35,0.24,0.895264,0.994923,0.996301
8,0.621787,0.964536,0.782481,0.511196,0.435921,2.677373,2.677373,0.34716,0.416224,0.446243,0.463835,28.705475,51.850931,53.529766,0.847131,0.842983,0.0,44.69539066666667,58.52,87.61,0.42,0.29,0.860687,0.994407,0.995869
9,0.648446,0.966733,0.794847,0.520944,0.492443,2.610546,2.708812,0.355021,0.429098,0.462929,0.487495,29.26659,51.751966,53.39661,0.869207,0.855977,0.787771,44.805055333333335,51.45,76.99,0.43,0.3,0.861058,0.994202,0.995657
10,0.707517,0.967604,0.813837,0.591015,0.594847,2.227304,2.610546,0.366212,0.455419,0.503188,0.54538,30.803025,51.872264,53.570256,0.90894,0.885736,9.954987,45.41518166666666,36.15,54.05,0.42,0.29,0.872905,0.994118,0.995701
11,0.705101,0.962185,0.795371,0.59365,0.602532,1.954423,2.227304,0.359731,0.458737,0.516098,0.565909,31.215048,52.120933,53.158012,0.921192,0.893756,10.134296,45.49799766666666,32.89,49.16,0.4,0.31,0.873207,0.994303,0.995175
12,0.698767,0.961562,0.79351,0.582686,0.59186,1.75849,1.954423,0.358346,0.458639,0.515219,0.567794,31.0728,52.220241,53.574683,0.920566,0.891842,9.091161,45.62257466666667,33.97,50.79,0.39,0.29,0.869188,0.994343,0.99562
13,0.680429,0.961988,0.789216,0.577485,0.54894,1.75849,1.75849,0.346659,0.433329,0.477098,0.511103,29.805066,51.825797,53.209564,0.887689,0.867609,5.192601,44.946809,45.46,68.01,0.43,0.31,0.860931,0.993921,0.995369
14,0.676087,0.959467,0.785862,0.582517,0.537206,1.741876,1.982384,0.337802,0.429335,0.474963,0.509051,29.703393,51.647375,53.126963,0.886816,0.866299,4.70214,44.82591033333333,46.54,69.62,0.44,0.32,0.858411,0.993681,0.995294
15,0.670951,0.958886,0.784027,0.575392,0.530616,1.668951,1.741876,0.337433,0.428625,0.473668,0.506187,29.699239,51.572464,53.321951,0.884953,0.865162,3.85615,44.86455133333334,46.58,69.69,0.45,0.3,0.858066,0.993601,0.995514
16,0.662424,0.960214,0.788287,0.576517,0.506935,1.668951,1.668951,0.33448,0.423197,0.466101,0.496324,29.369603,51.522632,53.051705,0.877038,0.857792,2.573702,44.64798,50.25,75.18,0.46,0.32,0.851323,0.99354,0.995227
17,0.648786,0.956942,0.771069,0.541838,0.504083,1.777626,1.981269,0.338486,0.426385,0.471679,0.506382,29.537498,51.417447,53.287311,0.884928,0.864401,0.945015,44.74741866666667,48.35,72.33,0.47,0.31,0.857457,0.993333,0.995462
18,0.610419,0.954607,0.755045,0.526761,0.420889,1.777626,1.777626,0.324839,0.398527,0.429521,0.445053,28.083004,50.9231,53.208148,0.832062,0.830089,0.0,44.07141733333333,67.54,101.11,0.53,0.31,0.850421,0.993049,0.995667
19,0.584888,0.948157,0.72445,0.491401,0.396363,1.831062,1.889445,0.305938,0.379651,0.408834,0.422679,27.261457,50.654907,52.736371,0.809277,0.808466,0.0,43.55091166666667,81.59,122.16,0.56,0.35,0.832845,0.992624,0.995128
20,0.594335,0.957787,0.758823,0.510942,0.385327,1.831062,1.831062,0.317875,0.387884,0.416143,0.429683,27.498313,50.852765,52.978352,0.816239,0.814436,0.0,43.77647666666667,77.26,115.68,0.53,0.33,0.837276,0.992927,0.995421
21,0.582532,0.954457,0.748736,0.488802,0.377868,1.957044,1.957044,0.316458,0.385255,0.4126,0.426241,27.367153,50.568866,52.925305,0.812877,0.812402,0.0,43.62044133333333,79.63,119.22,0.57,0.33,0.838055,0.992454,0.995339
22,0.624791,0.964392,0.793692,0.536001,0.42562,2.200983,2.200983,0.33594,0.403176,0.430984,0.44621,27.972393,50.928078,53.00982,0.833544,0.827124,0.0,43.970097,69.28,103.71,0.53,0.33,0.843396,0.992965,0.995356
23,0.637328,0.957957,0.777784,0.558932,0.457437,1.58093,2.392343,0.325834,0.40529,0.440236,0.459947,28.221716,50.938514,52.709183,0.844758,0.834344,0.0,43.956471,65.43,97.93,0.52,0.35,0.8421,0.992857,0.994993
24,0.638968,0.950496,0.755764,0.552548,0.48159,1.58093,1.58093,0.318945,0.406623,0.445294,0.468116,28.391071,50.922469,52.394876,0.852263,0.837911,0.0,43.90280533333333,62.94,94.18,0.53,0.37,0.839018,0.992752,0.994548
25,0.643433,0.95722,0.771556,0.566775,0.473515,1.68396,1.850896,0.33648,0.421432,0.46093,0.4866,28.896242,51.221242,52.838849,0.86727,0.851889,0.0,44.31877766666667,56.03,83.84,0.49,0.34,0.851201,0.993161,0.995068
26,0.647928,0.95374,0.76345,0.571335,0.489496,1.391692,1.68396,0.329236,0.419487,0.461447,0.490422,28.964332,51.373327,52.571584,0.869335,0.852402,0.380559,44.303081,55.16,82.54,0.47,0.36,0.848941,0.993382,0.994721
27,0.653277,0.953364,0.763489,0.566405,0.50678,1.38964,1.391692,0.328853,0.418092,0.459689,0.488291,28.927854,51.399084,52.393094,0.868315,0.851093,1.0934,44.24001066666667,55.63,83.23,0.47,0.37,0.847861,0.993369,0.994474
28,0.644423,0.950788,0.753291,0.559891,0.492773,1.340268,1.38964,0.317359,0.401949,0.438019,0.456396,27.929115,51.267801,52.079559,0.835548,0.828437,0.0,43.758825,69.98,104.75,0.49,0.4,0.838791,0.993559,0.994228
